sample_id,physical_scenario_id,split,category,truth_topology_id,accepted_set,set_size,hit,empty,calibration_hash,experiment_hash,parameter_domain_truth,parameter_vector_hash,noiseless_cfr_hash,observation_hash,case_seed
r21_independent35_parameter_ood_near_01,r21_independent35_parameter_ood_near_01,independent35,parameter_ood_near,R21C_021,"R21C_021,R21C_061",2,1,0,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,out_of_domain,d445d5a1e484441ec3ceb5aac01b457634202a29ff00c8a367559ed4ee57d277,761ebcab02981af276fc4ac8946bed38a68b722cee592014bcd388b1c435b392,78e3746cf437798ef13de7669ac9bb7c2b34d5b240043634e2c20a81ded4c3ad,755932088
r21_independent35_parameter_ood_near_02,r21_independent35_parameter_ood_near_02,independent35,parameter_ood_near,R21C_022,"R21C_002,R21C_018,R21C_025,R21C_075,R21C_081",5,0,0,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,out_of_domain,2fb6d6875b2a6deaa7b49be93d1014d5f8073094daa748ae2b100d05e9a02125,836d1131251f229795dc72cca8192ee2cb245f26684a4a6285ce5b8d81cf46ce,85e9795b110b9ecbcb9c7fe8540c051c16d15e2e5e581da8d4d1bcb1885ccb90,739154469
r21_independent35_parameter_ood_near_03,r21_independent35_parameter_ood_near_03,independent35,parameter_ood_near,R21C_023,"R21C_023",1,1,0,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,out_of_domain,7aa03fc3152f41b1b1fe441cd519f303a8c2872f0cdae0a001f0b85491e50696,f7239a82ac44a1ad55c4b74e2d2f7cc65306cbc7709bfcb87ef7417f260e11cf,02388e331a5048a8e526a48c69bd5cf4c301cc0c21bd262ca1f52f0dfcabafaa,722376850
r21_independent35_parameter_ood_near_04,r21_independent35_parameter_ood_near_04,independent35,parameter_ood_near,R21C_024,"R21C_021,R21C_024,R21C_060,R21C_061",4,1,0,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,out_of_domain,b196d335125d94cba9e7e71383b7cb417e2c1b379f0a62440d658fbddf091514,1b3e1e893b267966c93f80b05cdeb303055047c00e167a55bcef07d4962e3ca0,aae073808c10db4d54f47c1a7e02d5d1cbf7c01f97fb2df9cebb9983a14b390e,705599231
r21_independent35_parameter_ood_near_05,r21_independent35_parameter_ood_near_05,independent35,parameter_ood_near,R21C_025,"R21C_025,R21C_039,R21C_075",3,1,0,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,out_of_domain,9bd6a256b4ae13c0acdd1e28d9e5445182c05cfb2e27ca18dbd88cd36759b009,92fd6304d5038632caee5317799501f3078c9e0eb7ee35ffe4df879b1d6d14c2,b235a7b4f695229051ce3ab6647b79bbe4e45845195811ffdeebcedddafbaf17,688821612
r21_independent35_parameter_ood_medium_01,r21_independent35_parameter_ood_medium_01,independent35,parameter_ood_medium,R21C_026,"R21C_049",1,0,0,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,out_of_domain,4917fb5eb63c5b911c31e16508259acdc35fbf13628e2033e3c007430f695a86,971bcc11d76a39de4906d5c45cd1563411fb8dc7135acbc7f32d0972d414468a,4fb371ae7d55ea14580695378a3e2065de317264d62f11d003c6992d8c3c0d2d,573945779
r21_independent35_parameter_ood_medium_02,r21_independent35_parameter_ood_medium_02,independent35,parameter_ood_medium,R21C_027,"R21C_015,R21C_024,R21C_060,R21C_061,R21C_077",5,0,0,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,out_of_domain,a9e977dddec249a8d2739aac1fcb949517ba389eb297214c5bff4c5825b98780,f64f2dc6491997444977c5d8b9fea451b59c7ed7dda55873b0c8fd7ffd592412,62ae87ab56867f05380539f06b4759dfaebb970bbf2d9edee72ac9fec93fd258,624278636
r21_independent35_parameter_ood_medium_03,r21_independent35_parameter_ood_medium_03,independent35,parameter_ood_medium,R21C_028,"R21C_021,R21C_025,R21C_039,R21C_061,R21C_075",5,0,0,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,out_of_domain,96a6d40e1d58f4d74296bd78109b0afbe5cf63ec2935921e0538e030268ce5c2,465168fea065ddf1cf2f997984dd3e968a34898c420cb30d7ad7c44f67b1c81f,b8b8d3eea981db207c422772c4b803415ff038b57a30d508194f03c261cb0101,607501017
r21_independent35_parameter_ood_medium_04,r21_independent35_parameter_ood_medium_04,independent35,parameter_ood_medium,R21C_029,"R21C_020,R21C_038,R21C_040,R21C_042,R21C_074",5,0,0,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,out_of_domain,cf3ed16ed5c14863f274af5c951681614ca747b9b9d34756f061c9902c549885,588bf2a9285fd2d104eb6ad55395bb77dff035e16810948bc69bfee2778f73e6,3d6ce35c3bb2aacde4400c901137e29da7bbaad161bbd35dded2ae1758d2b25d,657833874
r21_independent35_parameter_ood_medium_05,r21_independent35_parameter_ood_medium_05,independent35,parameter_ood_medium,R21C_030,"R21C_030",1,1,0,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,out_of_domain,bb3f56382f964ee5195673f92e181aa4c4899ff13d6efa8e246f26c17ba19293,5d0d84e9772a7a8e7d5964ea9f881348c5bfaee18f65341a894883844a16fc8c,480e6157b1677e0024f41832b383a375e9b1cb26d96b377fcdd66fce2b12d866,641056255
r21_independent35_parameter_ood_far_01,r21_independent35_parameter_ood_far_01,independent35,parameter_ood_far,R21C_031,"R21C_039,R21C_069",2,0,0,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,out_of_domain,8e2846e6a05f04f1082d761de97cd75eea5a0acd604c81fa5f57879f2f082f7a,89d6c1e96a833467dedc9ce15e67bc4e3844c83e43efeb0b488b6a6f7c80c63c,a5bf4091df50bf7881aa94f488b1e9d13d043b2fdf19a2f25c3e5eaceaf9a318,129760782
r21_independent35_parameter_ood_far_02,r21_independent35_parameter_ood_far_02,independent35,parameter_ood_far,R21C_032,"R21C_004",1,0,0,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,out_of_domain,5f05658b96dc825c768cbbcbedbe296bc585396306d7ecd3d9385d508d6be808,76b25834bc7391baaffd15cdb11929cd24b34f2f21284b0febaad390dabb1990,812ece042fa422df95f2bfb0fd09810e00dbfe75fabbf345be8206887ac3e6a6,79427925
r21_independent35_parameter_ood_far_03,r21_independent35_parameter_ood_far_03,independent35,parameter_ood_far,R21C_033,"",0,0,1,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,out_of_domain,eb80876e1857e791497c8d35f0481c49783818ce8350fc8be0feb30582e49c92,da22bba2503d31da5c4c419f8a6be48c1413e68ed89ff3b1ca74b575efd01a3b,35258583cc18c1a39fa97615875cf304f48e90bb7094db823139f4549b8027c3,96205544
r21_independent35_parameter_ood_far_04,r21_independent35_parameter_ood_far_04,independent35,parameter_ood_far,R21C_034,"R21C_041",1,0,0,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,out_of_domain,f53f069127b68e5b95fef0c3f53ff2322d1477b038106adcd620e686ea2f7cf2,a2bdf3965343f156450b126033157b136926589fae940133755bc5746b8082e4,b1cc602814819bc503bd53425061d1777b82dcd89b57be9d7fff59dbe28c8237,180093639
r21_independent35_parameter_ood_far_05,r21_independent35_parameter_ood_far_05,independent35,parameter_ood_far,R21C_035,"",0,0,1,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,out_of_domain,7896377ebfda843ef496564ed4f3f7e0a03a63d7704519f08e7a37cbd9f89ff0,fc74ffa8c427aedafb50030e3f71f5423f054b89b600a6a5fc283d55e629ac58,d536b4516407f72aa51d845a0eafee46180d8961ab9a305c6d43953eeb3b6944,196871258
