grid_id,replicate_id,bootstrap_index,block_index,block_start,block_end,frequency_count,resampling_seed,experiment_scientific_hash
A_stage4a1_quick61,calibration,9,2,24,38,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,9,3,16,30,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,9,4,38,52,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,10,1,36,50,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,10,2,19,33,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,10,3,34,48,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,10,4,11,25,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,11,1,1,15,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,11,2,8,22,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,11,3,40,54,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,11,4,25,39,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,12,1,6,20,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,12,2,47,61,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,12,3,43,57,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,12,4,25,39,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,13,1,21,35,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,13,2,16,30,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,13,3,34,48,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,13,4,40,54,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,14,1,23,37,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,14,2,20,34,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,14,3,24,38,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,14,4,35,49,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,15,1,23,37,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,15,2,23,37,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,15,3,23,37,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,15,4,24,38,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,16,1,40,54,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,16,2,19,33,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,16,3,14,28,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,16,4,2,16,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,17,1,7,21,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,17,2,14,28,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,17,3,37,51,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,17,4,3,17,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,18,1,42,56,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,18,2,41,55,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,18,3,37,51,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,18,4,26,40,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,19,1,17,31,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,19,2,46,60,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,19,3,12,26,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,19,4,4,18,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,20,1,40,54,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,20,2,33,47,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,20,3,33,47,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,20,4,7,21,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,21,1,4,18,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,21,2,11,25,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,21,3,35,49,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,21,4,45,59,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,22,1,23,37,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,22,2,29,43,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,22,3,37,51,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,22,4,44,58,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,23,1,31,45,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,23,2,40,54,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,23,3,35,49,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,23,4,28,42,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,24,1,30,44,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,24,2,28,42,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,24,3,16,30,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,24,4,4,18,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,25,1,19,33,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,25,2,29,43,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,25,3,16,30,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,25,4,15,29,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,26,1,34,48,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,26,2,27,41,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,26,3,45,59,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,26,4,29,43,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,27,1,31,45,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,27,2,10,24,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,27,3,17,31,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,27,4,40,54,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,28,1,11,25,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,28,2,15,29,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,28,3,29,43,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,28,4,9,23,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,29,1,2,16,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,29,2,17,31,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,29,3,11,25,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,29,4,29,43,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,30,1,19,33,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,30,2,3,17,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,30,3,8,22,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,30,4,10,24,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,1,1,29,43,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,1,2,47,61,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,1,3,15,29,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,1,4,32,46,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,2,1,3,17,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,2,2,10,24,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,2,3,43,57,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,2,4,14,28,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,3,1,4,18,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,3,2,9,23,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,3,3,15,29,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,3,4,13,27,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,4,1,3,17,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,4,2,8,22,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,4,3,45,59,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,4,4,9,23,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,5,1,1,15,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,5,2,22,36,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,5,3,39,53,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,5,4,40,54,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,6,1,35,49,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,6,2,28,42,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,6,3,23,37,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,6,4,5,19,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,7,1,1,15,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,7,2,29,43,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,7,3,22,36,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,7,4,3,17,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,8,1,45,59,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,8,2,34,48,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,8,3,9,23,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,8,4,40,54,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,9,1,4,18,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,9,2,18,32,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,9,3,8,22,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,9,4,40,54,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,10,1,27,41,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,10,2,6,20,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,10,3,33,47,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,10,4,16,30,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,11,1,31,45,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,11,2,11,25,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,11,3,11,25,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,11,4,23,37,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,12,1,45,59,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,12,2,5,19,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,12,3,19,33,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,12,4,22,36,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,13,1,27,41,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,13,2,14,28,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,13,3,3,17,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,13,4,46,60,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,14,1,6,20,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,14,2,28,42,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,14,3,31,45,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,14,4,37,51,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,15,1,19,33,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,15,2,4,18,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,15,3,42,56,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,15,4,25,39,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,16,1,35,49,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,16,2,26,40,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,16,3,29,43,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,16,4,13,27,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,pilot,17,1,10,24,15,20278552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
