sample_id,replicate_id,grid_id,category,outlier_dimension,outlier_severity,parameter_domain_truth,truth_topology_id,truth_is_nonunique,truth_equivalence_class
final01_test_out_branch_length_scale_medium,final01,A_stage4a1_quick61,parameter_out_of_domain,branch_length_scale,medium,out_of_domain,G002,1,"{G002,G005}"
final01_test_out_branch_load_scale_far,final01,A_stage4a1_quick61,parameter_out_of_domain,branch_load_scale,far,out_of_domain,G003,0,"{G003}"
final01_test_out_branch_load_scale_far,final01,A_stage4a1_quick61,parameter_out_of_domain,branch_load_scale,far,out_of_domain,G003,0,"{G003}"
final01_test_out_branch_load_scale_far,final01,A_stage4a1_quick61,parameter_out_of_domain,branch_load_scale,far,out_of_domain,G003,0,"{G003}"
final01_test_out_branch_load_scale_far,final01,A_stage4a1_quick61,parameter_out_of_domain,branch_load_scale,far,out_of_domain,G003,0,"{G003}"
final01_test_out_source_impedance_ohm_near,final01,A_stage4a1_quick61,parameter_out_of_domain,source_impedance_ohm,near,out_of_domain,G004,1,"{G004,G007}"
final01_test_out_source_impedance_ohm_near,final01,A_stage4a1_quick61,parameter_out_of_domain,source_impedance_ohm,near,out_of_domain,G004,1,"{G004,G007}"
final01_test_out_source_impedance_ohm_near,final01,A_stage4a1_quick61,parameter_out_of_domain,source_impedance_ohm,near,out_of_domain,G004,1,"{G004,G007}"
final01_test_out_source_impedance_ohm_near,final01,A_stage4a1_quick61,parameter_out_of_domain,source_impedance_ohm,near,out_of_domain,G004,1,"{G004,G007}"
final01_test_out_receiver_impedance_ohm_medium,final01,A_stage4a1_quick61,parameter_out_of_domain,receiver_impedance_ohm,medium,out_of_domain,G005,1,"{G002,G005}"
final01_test_out_receiver_impedance_ohm_medium,final01,A_stage4a1_quick61,parameter_out_of_domain,receiver_impedance_ohm,medium,out_of_domain,G005,1,"{G002,G005}"
final01_test_out_receiver_impedance_ohm_medium,final01,A_stage4a1_quick61,parameter_out_of_domain,receiver_impedance_ohm,medium,out_of_domain,G005,1,"{G002,G005}"
final01_test_out_receiver_impedance_ohm_medium,final01,A_stage4a1_quick61,parameter_out_of_domain,receiver_impedance_ohm,medium,out_of_domain,G005,1,"{G002,G005}"
final01_test_out_joint_parameter_set_far,final01,A_stage4a1_quick61,parameter_out_of_domain,joint_parameter_set,far,out_of_domain,G006,0,"{G006}"
final01_test_out_joint_parameter_set_far,final01,A_stage4a1_quick61,parameter_out_of_domain,joint_parameter_set,far,out_of_domain,G006,0,"{G006}"
final01_test_out_joint_parameter_set_far,final01,A_stage4a1_quick61,parameter_out_of_domain,joint_parameter_set,far,out_of_domain,G006,0,"{G006}"
final01_test_out_joint_parameter_set_far,final01,A_stage4a1_quick61,parameter_out_of_domain,joint_parameter_set,far,out_of_domain,G006,0,"{G006}"
final02_test_in_01,final02,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G001,0,"{G001}"
final02_test_in_01,final02,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G001,0,"{G001}"
final02_test_in_01,final02,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G001,0,"{G001}"
final02_test_in_01,final02,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G001,0,"{G001}"
final02_test_in_02,final02,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G002,1,"{G002,G005}"
final02_test_in_02,final02,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G002,1,"{G002,G005}"
final02_test_in_02,final02,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G002,1,"{G002,G005}"
final02_test_in_02,final02,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G002,1,"{G002,G005}"
final02_test_in_03,final02,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G003,0,"{G003}"
final02_test_in_03,final02,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G003,0,"{G003}"
final02_test_in_03,final02,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G003,0,"{G003}"
final02_test_in_03,final02,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G003,0,"{G003}"
final02_test_in_04,final02,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G004,1,"{G004,G007}"
final02_test_in_04,final02,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G004,1,"{G004,G007}"
final02_test_in_04,final02,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G004,1,"{G004,G007}"
final02_test_in_04,final02,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G004,1,"{G004,G007}"
final02_test_in_05,final02,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G005,1,"{G002,G005}"
final02_test_in_05,final02,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G005,1,"{G002,G005}"
final02_test_in_05,final02,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G005,1,"{G002,G005}"
final02_test_in_05,final02,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G005,1,"{G002,G005}"
final02_test_in_06,final02,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G006,0,"{G006}"
final02_test_in_06,final02,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G006,0,"{G006}"
final02_test_in_06,final02,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G006,0,"{G006}"
final02_test_in_06,final02,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G006,0,"{G006}"
final02_test_in_07,final02,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G007,1,"{G004,G007}"
final02_test_in_07,final02,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G007,1,"{G004,G007}"
final02_test_in_07,final02,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G007,1,"{G004,G007}"
final02_test_in_07,final02,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G007,1,"{G004,G007}"
final02_test_out_main_length_scale_medium,final02,A_stage4a1_quick61,parameter_out_of_domain,main_length_scale,medium,out_of_domain,G002,1,"{G002,G005}"
final02_test_out_main_length_scale_medium,final02,A_stage4a1_quick61,parameter_out_of_domain,main_length_scale,medium,out_of_domain,G002,1,"{G002,G005}"
final02_test_out_main_length_scale_medium,final02,A_stage4a1_quick61,parameter_out_of_domain,main_length_scale,medium,out_of_domain,G002,1,"{G002,G005}"
final02_test_out_main_length_scale_medium,final02,A_stage4a1_quick61,parameter_out_of_domain,main_length_scale,medium,out_of_domain,G002,1,"{G002,G005}"
final02_test_out_branch_length_scale_far,final02,A_stage4a1_quick61,parameter_out_of_domain,branch_length_scale,far,out_of_domain,G003,0,"{G003}"
final02_test_out_branch_length_scale_far,final02,A_stage4a1_quick61,parameter_out_of_domain,branch_length_scale,far,out_of_domain,G003,0,"{G003}"
final02_test_out_branch_length_scale_far,final02,A_stage4a1_quick61,parameter_out_of_domain,branch_length_scale,far,out_of_domain,G003,0,"{G003}"
final02_test_out_branch_length_scale_far,final02,A_stage4a1_quick61,parameter_out_of_domain,branch_length_scale,far,out_of_domain,G003,0,"{G003}"
final02_test_out_branch_load_scale_near,final02,A_stage4a1_quick61,parameter_out_of_domain,branch_load_scale,near,out_of_domain,G004,1,"{G004,G007}"
final02_test_out_branch_load_scale_near,final02,A_stage4a1_quick61,parameter_out_of_domain,branch_load_scale,near,out_of_domain,G004,1,"{G004,G007}"
final02_test_out_branch_load_scale_near,final02,A_stage4a1_quick61,parameter_out_of_domain,branch_load_scale,near,out_of_domain,G004,1,"{G004,G007}"
final02_test_out_branch_load_scale_near,final02,A_stage4a1_quick61,parameter_out_of_domain,branch_load_scale,near,out_of_domain,G004,1,"{G004,G007}"
final02_test_out_source_impedance_ohm_medium,final02,A_stage4a1_quick61,parameter_out_of_domain,source_impedance_ohm,medium,out_of_domain,G005,1,"{G002,G005}"
final02_test_out_source_impedance_ohm_medium,final02,A_stage4a1_quick61,parameter_out_of_domain,source_impedance_ohm,medium,out_of_domain,G005,1,"{G002,G005}"
final02_test_out_source_impedance_ohm_medium,final02,A_stage4a1_quick61,parameter_out_of_domain,source_impedance_ohm,medium,out_of_domain,G005,1,"{G002,G005}"
final02_test_out_source_impedance_ohm_medium,final02,A_stage4a1_quick61,parameter_out_of_domain,source_impedance_ohm,medium,out_of_domain,G005,1,"{G002,G005}"
final02_test_out_receiver_impedance_ohm_far,final02,A_stage4a1_quick61,parameter_out_of_domain,receiver_impedance_ohm,far,out_of_domain,G006,0,"{G006}"
final02_test_out_receiver_impedance_ohm_far,final02,A_stage4a1_quick61,parameter_out_of_domain,receiver_impedance_ohm,far,out_of_domain,G006,0,"{G006}"
final02_test_out_receiver_impedance_ohm_far,final02,A_stage4a1_quick61,parameter_out_of_domain,receiver_impedance_ohm,far,out_of_domain,G006,0,"{G006}"
final02_test_out_receiver_impedance_ohm_far,final02,A_stage4a1_quick61,parameter_out_of_domain,receiver_impedance_ohm,far,out_of_domain,G006,0,"{G006}"
final02_test_out_joint_parameter_set_near,final02,A_stage4a1_quick61,parameter_out_of_domain,joint_parameter_set,near,out_of_domain,G007,1,"{G004,G007}"
final02_test_out_joint_parameter_set_near,final02,A_stage4a1_quick61,parameter_out_of_domain,joint_parameter_set,near,out_of_domain,G007,1,"{G004,G007}"
final02_test_out_joint_parameter_set_near,final02,A_stage4a1_quick61,parameter_out_of_domain,joint_parameter_set,near,out_of_domain,G007,1,"{G004,G007}"
final02_test_out_joint_parameter_set_near,final02,A_stage4a1_quick61,parameter_out_of_domain,joint_parameter_set,near,out_of_domain,G007,1,"{G004,G007}"
final03_test_in_01,final03,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G001,0,"{G001}"
final03_test_in_01,final03,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G001,0,"{G001}"
final03_test_in_01,final03,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G001,0,"{G001}"
final03_test_in_01,final03,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G001,0,"{G001}"
final03_test_in_02,final03,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G002,1,"{G002,G005}"
final03_test_in_02,final03,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G002,1,"{G002,G005}"
final03_test_in_02,final03,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G002,1,"{G002,G005}"
final03_test_in_02,final03,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G002,1,"{G002,G005}"
final03_test_in_03,final03,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G003,0,"{G003}"
final03_test_in_03,final03,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G003,0,"{G003}"
final03_test_in_03,final03,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G003,0,"{G003}"
final03_test_in_03,final03,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G003,0,"{G003}"
final03_test_in_04,final03,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G004,1,"{G004,G007}"
final03_test_in_04,final03,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G004,1,"{G004,G007}"
final03_test_in_04,final03,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G004,1,"{G004,G007}"
final03_test_in_04,final03,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G004,1,"{G004,G007}"
final03_test_in_05,final03,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G005,1,"{G002,G005}"
final03_test_in_05,final03,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G005,1,"{G002,G005}"
final03_test_in_05,final03,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G005,1,"{G002,G005}"
final03_test_in_05,final03,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G005,1,"{G002,G005}"
final03_test_in_06,final03,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G006,0,"{G006}"
final03_test_in_06,final03,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G006,0,"{G006}"
final03_test_in_06,final03,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G006,0,"{G006}"
final03_test_in_06,final03,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G006,0,"{G006}"
final03_test_in_07,final03,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G007,1,"{G004,G007}"
final03_test_in_07,final03,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G007,1,"{G004,G007}"
final03_test_in_07,final03,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G007,1,"{G004,G007}"
final03_test_in_07,final03,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G007,1,"{G004,G007}"
final03_test_out_main_length_scale_far,final03,A_stage4a1_quick61,parameter_out_of_domain,main_length_scale,far,out_of_domain,G003,0,"{G003}"
final03_test_out_main_length_scale_far,final03,A_stage4a1_quick61,parameter_out_of_domain,main_length_scale,far,out_of_domain,G003,0,"{G003}"
final03_test_out_main_length_scale_far,final03,A_stage4a1_quick61,parameter_out_of_domain,main_length_scale,far,out_of_domain,G003,0,"{G003}"
final03_test_out_main_length_scale_far,final03,A_stage4a1_quick61,parameter_out_of_domain,main_length_scale,far,out_of_domain,G003,0,"{G003}"
final03_test_out_branch_length_scale_near,final03,A_stage4a1_quick61,parameter_out_of_domain,branch_length_scale,near,out_of_domain,G004,1,"{G004,G007}"
final03_test_out_branch_length_scale_near,final03,A_stage4a1_quick61,parameter_out_of_domain,branch_length_scale,near,out_of_domain,G004,1,"{G004,G007}"
final03_test_out_branch_length_scale_near,final03,A_stage4a1_quick61,parameter_out_of_domain,branch_length_scale,near,out_of_domain,G004,1,"{G004,G007}"
final03_test_out_branch_length_scale_near,final03,A_stage4a1_quick61,parameter_out_of_domain,branch_length_scale,near,out_of_domain,G004,1,"{G004,G007}"
final03_test_out_branch_load_scale_medium,final03,A_stage4a1_quick61,parameter_out_of_domain,branch_load_scale,medium,out_of_domain,G005,1,"{G002,G005}"
final03_test_out_branch_load_scale_medium,final03,A_stage4a1_quick61,parameter_out_of_domain,branch_load_scale,medium,out_of_domain,G005,1,"{G002,G005}"
final03_test_out_branch_load_scale_medium,final03,A_stage4a1_quick61,parameter_out_of_domain,branch_load_scale,medium,out_of_domain,G005,1,"{G002,G005}"
final03_test_out_branch_load_scale_medium,final03,A_stage4a1_quick61,parameter_out_of_domain,branch_load_scale,medium,out_of_domain,G005,1,"{G002,G005}"
final03_test_out_source_impedance_ohm_far,final03,A_stage4a1_quick61,parameter_out_of_domain,source_impedance_ohm,far,out_of_domain,G006,0,"{G006}"
final03_test_out_source_impedance_ohm_far,final03,A_stage4a1_quick61,parameter_out_of_domain,source_impedance_ohm,far,out_of_domain,G006,0,"{G006}"
final03_test_out_source_impedance_ohm_far,final03,A_stage4a1_quick61,parameter_out_of_domain,source_impedance_ohm,far,out_of_domain,G006,0,"{G006}"
final03_test_out_source_impedance_ohm_far,final03,A_stage4a1_quick61,parameter_out_of_domain,source_impedance_ohm,far,out_of_domain,G006,0,"{G006}"
final03_test_out_receiver_impedance_ohm_near,final03,A_stage4a1_quick61,parameter_out_of_domain,receiver_impedance_ohm,near,out_of_domain,G007,1,"{G004,G007}"
final03_test_out_receiver_impedance_ohm_near,final03,A_stage4a1_quick61,parameter_out_of_domain,receiver_impedance_ohm,near,out_of_domain,G007,1,"{G004,G007}"
final03_test_out_receiver_impedance_ohm_near,final03,A_stage4a1_quick61,parameter_out_of_domain,receiver_impedance_ohm,near,out_of_domain,G007,1,"{G004,G007}"
final03_test_out_receiver_impedance_ohm_near,final03,A_stage4a1_quick61,parameter_out_of_domain,receiver_impedance_ohm,near,out_of_domain,G007,1,"{G004,G007}"
final03_test_out_joint_parameter_set_medium,final03,A_stage4a1_quick61,parameter_out_of_domain,joint_parameter_set,medium,out_of_domain,G001,0,"{G001}"
final03_test_out_joint_parameter_set_medium,final03,A_stage4a1_quick61,parameter_out_of_domain,joint_parameter_set,medium,out_of_domain,G001,0,"{G001}"
final03_test_out_joint_parameter_set_medium,final03,A_stage4a1_quick61,parameter_out_of_domain,joint_parameter_set,medium,out_of_domain,G001,0,"{G001}"
final03_test_out_joint_parameter_set_medium,final03,A_stage4a1_quick61,parameter_out_of_domain,joint_parameter_set,medium,out_of_domain,G001,0,"{G001}"
final04_test_in_01,final04,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G001,0,"{G001}"
final04_test_in_01,final04,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G001,0,"{G001}"
final04_test_in_01,final04,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G001,0,"{G001}"
final04_test_in_01,final04,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G001,0,"{G001}"
final04_test_in_02,final04,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G002,1,"{G002,G005}"
final04_test_in_02,final04,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G002,1,"{G002,G005}"
final04_test_in_02,final04,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G002,1,"{G002,G005}"
final04_test_in_02,final04,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G002,1,"{G002,G005}"
final04_test_in_03,final04,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G003,0,"{G003}"
final04_test_in_03,final04,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G003,0,"{G003}"
final04_test_in_03,final04,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G003,0,"{G003}"
final04_test_in_03,final04,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G003,0,"{G003}"
final04_test_in_04,final04,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G004,1,"{G004,G007}"
final04_test_in_04,final04,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G004,1,"{G004,G007}"
final04_test_in_04,final04,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G004,1,"{G004,G007}"
final04_test_in_04,final04,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G004,1,"{G004,G007}"
final04_test_in_05,final04,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G005,1,"{G002,G005}"
final04_test_in_05,final04,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G005,1,"{G002,G005}"
final04_test_in_05,final04,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G005,1,"{G002,G005}"
final04_test_in_05,final04,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G005,1,"{G002,G005}"
final04_test_in_06,final04,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G006,0,"{G006}"
final04_test_in_06,final04,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G006,0,"{G006}"
final04_test_in_06,final04,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G006,0,"{G006}"
final04_test_in_06,final04,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G006,0,"{G006}"
final04_test_in_07,final04,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G007,1,"{G004,G007}"
final04_test_in_07,final04,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G007,1,"{G004,G007}"
final04_test_in_07,final04,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G007,1,"{G004,G007}"
final04_test_in_07,final04,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G007,1,"{G004,G007}"
final04_test_out_main_length_scale_near,final04,A_stage4a1_quick61,parameter_out_of_domain,main_length_scale,near,out_of_domain,G004,1,"{G004,G007}"
final04_test_out_main_length_scale_near,final04,A_stage4a1_quick61,parameter_out_of_domain,main_length_scale,near,out_of_domain,G004,1,"{G004,G007}"
final04_test_out_main_length_scale_near,final04,A_stage4a1_quick61,parameter_out_of_domain,main_length_scale,near,out_of_domain,G004,1,"{G004,G007}"
final04_test_out_main_length_scale_near,final04,A_stage4a1_quick61,parameter_out_of_domain,main_length_scale,near,out_of_domain,G004,1,"{G004,G007}"
final04_test_out_branch_length_scale_medium,final04,A_stage4a1_quick61,parameter_out_of_domain,branch_length_scale,medium,out_of_domain,G005,1,"{G002,G005}"
final04_test_out_branch_length_scale_medium,final04,A_stage4a1_quick61,parameter_out_of_domain,branch_length_scale,medium,out_of_domain,G005,1,"{G002,G005}"
final04_test_out_branch_length_scale_medium,final04,A_stage4a1_quick61,parameter_out_of_domain,branch_length_scale,medium,out_of_domain,G005,1,"{G002,G005}"
final04_test_out_branch_length_scale_medium,final04,A_stage4a1_quick61,parameter_out_of_domain,branch_length_scale,medium,out_of_domain,G005,1,"{G002,G005}"
final04_test_out_branch_load_scale_far,final04,A_stage4a1_quick61,parameter_out_of_domain,branch_load_scale,far,out_of_domain,G006,0,"{G006}"
final04_test_out_branch_load_scale_far,final04,A_stage4a1_quick61,parameter_out_of_domain,branch_load_scale,far,out_of_domain,G006,0,"{G006}"
final04_test_out_branch_load_scale_far,final04,A_stage4a1_quick61,parameter_out_of_domain,branch_load_scale,far,out_of_domain,G006,0,"{G006}"
final04_test_out_branch_load_scale_far,final04,A_stage4a1_quick61,parameter_out_of_domain,branch_load_scale,far,out_of_domain,G006,0,"{G006}"
final04_test_out_source_impedance_ohm_near,final04,A_stage4a1_quick61,parameter_out_of_domain,source_impedance_ohm,near,out_of_domain,G007,1,"{G004,G007}"
final04_test_out_source_impedance_ohm_near,final04,A_stage4a1_quick61,parameter_out_of_domain,source_impedance_ohm,near,out_of_domain,G007,1,"{G004,G007}"
final04_test_out_source_impedance_ohm_near,final04,A_stage4a1_quick61,parameter_out_of_domain,source_impedance_ohm,near,out_of_domain,G007,1,"{G004,G007}"
final04_test_out_source_impedance_ohm_near,final04,A_stage4a1_quick61,parameter_out_of_domain,source_impedance_ohm,near,out_of_domain,G007,1,"{G004,G007}"
final04_test_out_receiver_impedance_ohm_medium,final04,A_stage4a1_quick61,parameter_out_of_domain,receiver_impedance_ohm,medium,out_of_domain,G001,0,"{G001}"
final04_test_out_receiver_impedance_ohm_medium,final04,A_stage4a1_quick61,parameter_out_of_domain,receiver_impedance_ohm,medium,out_of_domain,G001,0,"{G001}"
final04_test_out_receiver_impedance_ohm_medium,final04,A_stage4a1_quick61,parameter_out_of_domain,receiver_impedance_ohm,medium,out_of_domain,G001,0,"{G001}"
final04_test_out_receiver_impedance_ohm_medium,final04,A_stage4a1_quick61,parameter_out_of_domain,receiver_impedance_ohm,medium,out_of_domain,G001,0,"{G001}"
final04_test_out_joint_parameter_set_far,final04,A_stage4a1_quick61,parameter_out_of_domain,joint_parameter_set,far,out_of_domain,G002,1,"{G002,G005}"
final04_test_out_joint_parameter_set_far,final04,A_stage4a1_quick61,parameter_out_of_domain,joint_parameter_set,far,out_of_domain,G002,1,"{G002,G005}"
final04_test_out_joint_parameter_set_far,final04,A_stage4a1_quick61,parameter_out_of_domain,joint_parameter_set,far,out_of_domain,G002,1,"{G002,G005}"
final04_test_out_joint_parameter_set_far,final04,A_stage4a1_quick61,parameter_out_of_domain,joint_parameter_set,far,out_of_domain,G002,1,"{G002,G005}"
final05_test_in_01,final05,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G001,0,"{G001}"
final05_test_in_01,final05,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G001,0,"{G001}"
final05_test_in_01,final05,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G001,0,"{G001}"
final05_test_in_01,final05,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G001,0,"{G001}"
final05_test_in_02,final05,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G002,1,"{G002,G005}"
final05_test_in_02,final05,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G002,1,"{G002,G005}"
final05_test_in_02,final05,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G002,1,"{G002,G005}"
final05_test_in_02,final05,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G002,1,"{G002,G005}"
final05_test_in_03,final05,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G003,0,"{G003}"
