sample_id,replicate_id,split,category,truth_topology_id,canonical_key,outlier_dimension,outlier_severity,parameter_domain_truth,seed
final01_test_out_receiver_impedance_ohm_medium,final01,stage4a6_final_test,parameter_out_of_domain,G005,"TX=TX|RX=RX|P=4|1:1,2:0,3:0",receiver_impedance_ohm,medium,out_of_domain,20261732
final01_test_out_joint_parameter_set_far,final01,stage4a6_final_test,parameter_out_of_domain,G006,"TX=TX|RX=RX|P=4|1:1,2:0,3:1",joint_parameter_set,far,out_of_domain,20261732
final02_cal_G001_01,final02,stage4a6_final_calibration,parameter_in_domain,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",,,in_domain,20261702
final02_cal_G001_02,final02,stage4a6_final_calibration,parameter_in_domain,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",,,in_domain,20261702
final02_cal_G002_01,final02,stage4a6_final_calibration,parameter_in_domain,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1",,,in_domain,20261702
final02_cal_G002_02,final02,stage4a6_final_calibration,parameter_in_domain,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1",,,in_domain,20261702
final02_cal_G003_01,final02,stage4a6_final_calibration,parameter_in_domain,G003,"TX=TX|RX=RX|P=4|1:0,2:1,3:0",,,in_domain,20261702
final02_cal_G003_02,final02,stage4a6_final_calibration,parameter_in_domain,G003,"TX=TX|RX=RX|P=4|1:0,2:1,3:0",,,in_domain,20261702
final02_cal_G004_01,final02,stage4a6_final_calibration,parameter_in_domain,G004,"TX=TX|RX=RX|P=4|1:0,2:1,3:1",,,in_domain,20261702
final02_cal_G004_02,final02,stage4a6_final_calibration,parameter_in_domain,G004,"TX=TX|RX=RX|P=4|1:0,2:1,3:1",,,in_domain,20261702
final02_cal_G005_01,final02,stage4a6_final_calibration,parameter_in_domain,G005,"TX=TX|RX=RX|P=4|1:1,2:0,3:0",,,in_domain,20261702
final02_cal_G005_02,final02,stage4a6_final_calibration,parameter_in_domain,G005,"TX=TX|RX=RX|P=4|1:1,2:0,3:0",,,in_domain,20261702
final02_cal_G006_01,final02,stage4a6_final_calibration,parameter_in_domain,G006,"TX=TX|RX=RX|P=4|1:1,2:0,3:1",,,in_domain,20261702
final02_cal_G006_02,final02,stage4a6_final_calibration,parameter_in_domain,G006,"TX=TX|RX=RX|P=4|1:1,2:0,3:1",,,in_domain,20261702
final02_cal_G007_01,final02,stage4a6_final_calibration,parameter_in_domain,G007,"TX=TX|RX=RX|P=4|1:1,2:1,3:0",,,in_domain,20261702
final02_cal_G007_02,final02,stage4a6_final_calibration,parameter_in_domain,G007,"TX=TX|RX=RX|P=4|1:1,2:1,3:0",,,in_domain,20261702
final02_test_in_01,final02,stage4a6_final_test,parameter_in_domain,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",,,in_domain,20261733
final02_test_in_02,final02,stage4a6_final_test,parameter_in_domain,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1",,,in_domain,20261733
final02_test_in_03,final02,stage4a6_final_test,parameter_in_domain,G003,"TX=TX|RX=RX|P=4|1:0,2:1,3:0",,,in_domain,20261733
final02_test_in_04,final02,stage4a6_final_test,parameter_in_domain,G004,"TX=TX|RX=RX|P=4|1:0,2:1,3:1",,,in_domain,20261733
final02_test_in_05,final02,stage4a6_final_test,parameter_in_domain,G005,"TX=TX|RX=RX|P=4|1:1,2:0,3:0",,,in_domain,20261733
final02_test_in_06,final02,stage4a6_final_test,parameter_in_domain,G006,"TX=TX|RX=RX|P=4|1:1,2:0,3:1",,,in_domain,20261733
final02_test_in_07,final02,stage4a6_final_test,parameter_in_domain,G007,"TX=TX|RX=RX|P=4|1:1,2:1,3:0",,,in_domain,20261733
final02_test_out_main_length_scale_medium,final02,stage4a6_final_test,parameter_out_of_domain,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1",main_length_scale,medium,out_of_domain,20261733
final02_test_out_branch_length_scale_far,final02,stage4a6_final_test,parameter_out_of_domain,G003,"TX=TX|RX=RX|P=4|1:0,2:1,3:0",branch_length_scale,far,out_of_domain,20261733
final02_test_out_branch_load_scale_near,final02,stage4a6_final_test,parameter_out_of_domain,G004,"TX=TX|RX=RX|P=4|1:0,2:1,3:1",branch_load_scale,near,out_of_domain,20261733
final02_test_out_source_impedance_ohm_medium,final02,stage4a6_final_test,parameter_out_of_domain,G005,"TX=TX|RX=RX|P=4|1:1,2:0,3:0",source_impedance_ohm,medium,out_of_domain,20261733
final02_test_out_receiver_impedance_ohm_far,final02,stage4a6_final_test,parameter_out_of_domain,G006,"TX=TX|RX=RX|P=4|1:1,2:0,3:1",receiver_impedance_ohm,far,out_of_domain,20261733
final02_test_out_joint_parameter_set_near,final02,stage4a6_final_test,parameter_out_of_domain,G007,"TX=TX|RX=RX|P=4|1:1,2:1,3:0",joint_parameter_set,near,out_of_domain,20261733
final03_cal_G001_01,final03,stage4a6_final_calibration,parameter_in_domain,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",,,in_domain,20261703
final03_cal_G001_02,final03,stage4a6_final_calibration,parameter_in_domain,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",,,in_domain,20261703
final03_cal_G002_01,final03,stage4a6_final_calibration,parameter_in_domain,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1",,,in_domain,20261703
final03_cal_G002_02,final03,stage4a6_final_calibration,parameter_in_domain,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1",,,in_domain,20261703
final03_cal_G003_01,final03,stage4a6_final_calibration,parameter_in_domain,G003,"TX=TX|RX=RX|P=4|1:0,2:1,3:0",,,in_domain,20261703
final03_cal_G003_02,final03,stage4a6_final_calibration,parameter_in_domain,G003,"TX=TX|RX=RX|P=4|1:0,2:1,3:0",,,in_domain,20261703
final03_cal_G004_01,final03,stage4a6_final_calibration,parameter_in_domain,G004,"TX=TX|RX=RX|P=4|1:0,2:1,3:1",,,in_domain,20261703
final03_cal_G004_02,final03,stage4a6_final_calibration,parameter_in_domain,G004,"TX=TX|RX=RX|P=4|1:0,2:1,3:1",,,in_domain,20261703
final03_cal_G005_01,final03,stage4a6_final_calibration,parameter_in_domain,G005,"TX=TX|RX=RX|P=4|1:1,2:0,3:0",,,in_domain,20261703
final03_cal_G005_02,final03,stage4a6_final_calibration,parameter_in_domain,G005,"TX=TX|RX=RX|P=4|1:1,2:0,3:0",,,in_domain,20261703
final03_cal_G006_01,final03,stage4a6_final_calibration,parameter_in_domain,G006,"TX=TX|RX=RX|P=4|1:1,2:0,3:1",,,in_domain,20261703
final03_cal_G006_02,final03,stage4a6_final_calibration,parameter_in_domain,G006,"TX=TX|RX=RX|P=4|1:1,2:0,3:1",,,in_domain,20261703
final03_cal_G007_01,final03,stage4a6_final_calibration,parameter_in_domain,G007,"TX=TX|RX=RX|P=4|1:1,2:1,3:0",,,in_domain,20261703
final03_cal_G007_02,final03,stage4a6_final_calibration,parameter_in_domain,G007,"TX=TX|RX=RX|P=4|1:1,2:1,3:0",,,in_domain,20261703
final03_test_in_01,final03,stage4a6_final_test,parameter_in_domain,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",,,in_domain,20261734
final03_test_in_02,final03,stage4a6_final_test,parameter_in_domain,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1",,,in_domain,20261734
final03_test_in_03,final03,stage4a6_final_test,parameter_in_domain,G003,"TX=TX|RX=RX|P=4|1:0,2:1,3:0",,,in_domain,20261734
final03_test_in_04,final03,stage4a6_final_test,parameter_in_domain,G004,"TX=TX|RX=RX|P=4|1:0,2:1,3:1",,,in_domain,20261734
final03_test_in_05,final03,stage4a6_final_test,parameter_in_domain,G005,"TX=TX|RX=RX|P=4|1:1,2:0,3:0",,,in_domain,20261734
final03_test_in_06,final03,stage4a6_final_test,parameter_in_domain,G006,"TX=TX|RX=RX|P=4|1:1,2:0,3:1",,,in_domain,20261734
final03_test_in_07,final03,stage4a6_final_test,parameter_in_domain,G007,"TX=TX|RX=RX|P=4|1:1,2:1,3:0",,,in_domain,20261734
final03_test_out_main_length_scale_far,final03,stage4a6_final_test,parameter_out_of_domain,G003,"TX=TX|RX=RX|P=4|1:0,2:1,3:0",main_length_scale,far,out_of_domain,20261734
final03_test_out_branch_length_scale_near,final03,stage4a6_final_test,parameter_out_of_domain,G004,"TX=TX|RX=RX|P=4|1:0,2:1,3:1",branch_length_scale,near,out_of_domain,20261734
final03_test_out_branch_load_scale_medium,final03,stage4a6_final_test,parameter_out_of_domain,G005,"TX=TX|RX=RX|P=4|1:1,2:0,3:0",branch_load_scale,medium,out_of_domain,20261734
final03_test_out_source_impedance_ohm_far,final03,stage4a6_final_test,parameter_out_of_domain,G006,"TX=TX|RX=RX|P=4|1:1,2:0,3:1",source_impedance_ohm,far,out_of_domain,20261734
final03_test_out_receiver_impedance_ohm_near,final03,stage4a6_final_test,parameter_out_of_domain,G007,"TX=TX|RX=RX|P=4|1:1,2:1,3:0",receiver_impedance_ohm,near,out_of_domain,20261734
final03_test_out_joint_parameter_set_medium,final03,stage4a6_final_test,parameter_out_of_domain,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",joint_parameter_set,medium,out_of_domain,20261734
final04_cal_G001_01,final04,stage4a6_final_calibration,parameter_in_domain,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",,,in_domain,20261704
final04_cal_G001_02,final04,stage4a6_final_calibration,parameter_in_domain,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",,,in_domain,20261704
final04_cal_G002_01,final04,stage4a6_final_calibration,parameter_in_domain,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1",,,in_domain,20261704
final04_cal_G002_02,final04,stage4a6_final_calibration,parameter_in_domain,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1",,,in_domain,20261704
final04_cal_G003_01,final04,stage4a6_final_calibration,parameter_in_domain,G003,"TX=TX|RX=RX|P=4|1:0,2:1,3:0",,,in_domain,20261704
final04_cal_G003_02,final04,stage4a6_final_calibration,parameter_in_domain,G003,"TX=TX|RX=RX|P=4|1:0,2:1,3:0",,,in_domain,20261704
final04_cal_G004_01,final04,stage4a6_final_calibration,parameter_in_domain,G004,"TX=TX|RX=RX|P=4|1:0,2:1,3:1",,,in_domain,20261704
final04_cal_G004_02,final04,stage4a6_final_calibration,parameter_in_domain,G004,"TX=TX|RX=RX|P=4|1:0,2:1,3:1",,,in_domain,20261704
final04_cal_G005_01,final04,stage4a6_final_calibration,parameter_in_domain,G005,"TX=TX|RX=RX|P=4|1:1,2:0,3:0",,,in_domain,20261704
final04_cal_G005_02,final04,stage4a6_final_calibration,parameter_in_domain,G005,"TX=TX|RX=RX|P=4|1:1,2:0,3:0",,,in_domain,20261704
final04_cal_G006_01,final04,stage4a6_final_calibration,parameter_in_domain,G006,"TX=TX|RX=RX|P=4|1:1,2:0,3:1",,,in_domain,20261704
final04_cal_G006_02,final04,stage4a6_final_calibration,parameter_in_domain,G006,"TX=TX|RX=RX|P=4|1:1,2:0,3:1",,,in_domain,20261704
final04_cal_G007_01,final04,stage4a6_final_calibration,parameter_in_domain,G007,"TX=TX|RX=RX|P=4|1:1,2:1,3:0",,,in_domain,20261704
final04_cal_G007_02,final04,stage4a6_final_calibration,parameter_in_domain,G007,"TX=TX|RX=RX|P=4|1:1,2:1,3:0",,,in_domain,20261704
final04_test_in_01,final04,stage4a6_final_test,parameter_in_domain,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",,,in_domain,20261735
final04_test_in_02,final04,stage4a6_final_test,parameter_in_domain,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1",,,in_domain,20261735
final04_test_in_03,final04,stage4a6_final_test,parameter_in_domain,G003,"TX=TX|RX=RX|P=4|1:0,2:1,3:0",,,in_domain,20261735
final04_test_in_04,final04,stage4a6_final_test,parameter_in_domain,G004,"TX=TX|RX=RX|P=4|1:0,2:1,3:1",,,in_domain,20261735
final04_test_in_05,final04,stage4a6_final_test,parameter_in_domain,G005,"TX=TX|RX=RX|P=4|1:1,2:0,3:0",,,in_domain,20261735
final04_test_in_06,final04,stage4a6_final_test,parameter_in_domain,G006,"TX=TX|RX=RX|P=4|1:1,2:0,3:1",,,in_domain,20261735
final04_test_in_07,final04,stage4a6_final_test,parameter_in_domain,G007,"TX=TX|RX=RX|P=4|1:1,2:1,3:0",,,in_domain,20261735
final04_test_out_main_length_scale_near,final04,stage4a6_final_test,parameter_out_of_domain,G004,"TX=TX|RX=RX|P=4|1:0,2:1,3:1",main_length_scale,near,out_of_domain,20261735
final04_test_out_branch_length_scale_medium,final04,stage4a6_final_test,parameter_out_of_domain,G005,"TX=TX|RX=RX|P=4|1:1,2:0,3:0",branch_length_scale,medium,out_of_domain,20261735
final04_test_out_branch_load_scale_far,final04,stage4a6_final_test,parameter_out_of_domain,G006,"TX=TX|RX=RX|P=4|1:1,2:0,3:1",branch_load_scale,far,out_of_domain,20261735
final04_test_out_source_impedance_ohm_near,final04,stage4a6_final_test,parameter_out_of_domain,G007,"TX=TX|RX=RX|P=4|1:1,2:1,3:0",source_impedance_ohm,near,out_of_domain,20261735
final04_test_out_receiver_impedance_ohm_medium,final04,stage4a6_final_test,parameter_out_of_domain,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",receiver_impedance_ohm,medium,out_of_domain,20261735
final04_test_out_joint_parameter_set_far,final04,stage4a6_final_test,parameter_out_of_domain,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1",joint_parameter_set,far,out_of_domain,20261735
final05_cal_G001_01,final05,stage4a6_final_calibration,parameter_in_domain,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",,,in_domain,20261705
final05_cal_G001_02,final05,stage4a6_final_calibration,parameter_in_domain,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",,,in_domain,20261705
final05_cal_G002_01,final05,stage4a6_final_calibration,parameter_in_domain,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1",,,in_domain,20261705
final05_cal_G002_02,final05,stage4a6_final_calibration,parameter_in_domain,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1",,,in_domain,20261705
final05_cal_G003_01,final05,stage4a6_final_calibration,parameter_in_domain,G003,"TX=TX|RX=RX|P=4|1:0,2:1,3:0",,,in_domain,20261705
final05_cal_G003_02,final05,stage4a6_final_calibration,parameter_in_domain,G003,"TX=TX|RX=RX|P=4|1:0,2:1,3:0",,,in_domain,20261705
final05_cal_G004_01,final05,stage4a6_final_calibration,parameter_in_domain,G004,"TX=TX|RX=RX|P=4|1:0,2:1,3:1",,,in_domain,20261705
final05_cal_G004_02,final05,stage4a6_final_calibration,parameter_in_domain,G004,"TX=TX|RX=RX|P=4|1:0,2:1,3:1",,,in_domain,20261705
final05_cal_G005_01,final05,stage4a6_final_calibration,parameter_in_domain,G005,"TX=TX|RX=RX|P=4|1:1,2:0,3:0",,,in_domain,20261705
final05_cal_G005_02,final05,stage4a6_final_calibration,parameter_in_domain,G005,"TX=TX|RX=RX|P=4|1:1,2:0,3:0",,,in_domain,20261705
final05_cal_G006_01,final05,stage4a6_final_calibration,parameter_in_domain,G006,"TX=TX|RX=RX|P=4|1:1,2:0,3:1",,,in_domain,20261705
final05_cal_G006_02,final05,stage4a6_final_calibration,parameter_in_domain,G006,"TX=TX|RX=RX|P=4|1:1,2:0,3:1",,,in_domain,20261705
final05_cal_G007_01,final05,stage4a6_final_calibration,parameter_in_domain,G007,"TX=TX|RX=RX|P=4|1:1,2:1,3:0",,,in_domain,20261705
final05_cal_G007_02,final05,stage4a6_final_calibration,parameter_in_domain,G007,"TX=TX|RX=RX|P=4|1:1,2:1,3:0",,,in_domain,20261705
final05_test_in_01,final05,stage4a6_final_test,parameter_in_domain,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",,,in_domain,20261736
final05_test_in_02,final05,stage4a6_final_test,parameter_in_domain,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1",,,in_domain,20261736
final05_test_in_03,final05,stage4a6_final_test,parameter_in_domain,G003,"TX=TX|RX=RX|P=4|1:0,2:1,3:0",,,in_domain,20261736
final05_test_in_04,final05,stage4a6_final_test,parameter_in_domain,G004,"TX=TX|RX=RX|P=4|1:0,2:1,3:1",,,in_domain,20261736
final05_test_in_05,final05,stage4a6_final_test,parameter_in_domain,G005,"TX=TX|RX=RX|P=4|1:1,2:0,3:0",,,in_domain,20261736
final05_test_in_06,final05,stage4a6_final_test,parameter_in_domain,G006,"TX=TX|RX=RX|P=4|1:1,2:0,3:1",,,in_domain,20261736
final05_test_in_07,final05,stage4a6_final_test,parameter_in_domain,G007,"TX=TX|RX=RX|P=4|1:1,2:1,3:0",,,in_domain,20261736
final05_test_out_main_length_scale_medium,final05,stage4a6_final_test,parameter_out_of_domain,G005,"TX=TX|RX=RX|P=4|1:1,2:0,3:0",main_length_scale,medium,out_of_domain,20261736
final05_test_out_branch_length_scale_far,final05,stage4a6_final_test,parameter_out_of_domain,G006,"TX=TX|RX=RX|P=4|1:1,2:0,3:1",branch_length_scale,far,out_of_domain,20261736
final05_test_out_branch_load_scale_near,final05,stage4a6_final_test,parameter_out_of_domain,G007,"TX=TX|RX=RX|P=4|1:1,2:1,3:0",branch_load_scale,near,out_of_domain,20261736
final05_test_out_source_impedance_ohm_medium,final05,stage4a6_final_test,parameter_out_of_domain,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",source_impedance_ohm,medium,out_of_domain,20261736
final05_test_out_receiver_impedance_ohm_far,final05,stage4a6_final_test,parameter_out_of_domain,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1",receiver_impedance_ohm,far,out_of_domain,20261736
final05_test_out_joint_parameter_set_near,final05,stage4a6_final_test,parameter_out_of_domain,G003,"TX=TX|RX=RX|P=4|1:0,2:1,3:0",joint_parameter_set,near,out_of_domain,20261736
