library,scenario,method,n,truth_in_library_n,top1_correct_k,truth_set_covered_k,truth_set_coverage,coverage_low95,coverage_high95,mean_set_size,median_set_size,empty_set_k,singleton_set_k,multiple_set_k,unique_k,correct_unique_k,false_unique_k,false_unique_rate,false_unique_low95,false_unique_high95,selective_error,selective_error_low95,selective_error_high95,unique_rate,unique_rate_low95,unique_rate_high95,nonempty_set_k,nonempty_set_rate,nonempty_set_accepted_k,nonempty_set_acceptance_rate,rejected_k,rejected_rate,rejected_low95,rejected_high95,gate_rejected_k,gate_rejected_nonempty_k
scale_small,T_in_library_10db,M2R,300,300,300,152,0.506666666666667,0.450366830736956,0.562797929646717,0.506666666666667,1,148,152,0,129,129,0,0,8.67361737988404e-19,0.012642971224546,0,0,0.0289176199568783,0.43,0.375211176733764,0.486558839237672,152,0.506666666666667,152,0.506666666666667,148,0.493333333333333,0.437202070353283,0.549633169263044,0,0
scale_small,T_in_library_10db,M2R_plus_band_gate,300,300,300,152,0.506666666666667,0.450366830736956,0.562797929646717,0.506666666666667,1,148,152,0,128,128,0,0,8.67361737988404e-19,0.012642971224546,0,0,0.0291369562735084,0.426666666666667,0.371973575838631,0.483214059940969,152,0.506666666666667,148,0.493333333333333,152,0.506666666666667,0.450366830736956,0.562797929646717,73,4
scale_small,T_parameter_out,M2,300,300,115,0,0,8.67361737988404e-19,0.012642971224546,0,0,300,0,0,0,0,0,0,8.67361737988404e-19,0.012642971224546,NaN,NaN,NaN,0,8.67361737988404e-19,0.012642971224546,0,0,0,0,300,1,0.987357028775454,1,0,0
scale_small,T_parameter_out,M2R,300,300,115,0,0,8.67361737988404e-19,0.012642971224546,0,0,300,0,0,0,0,0,0,8.67361737988404e-19,0.012642971224546,NaN,NaN,NaN,0,8.67361737988404e-19,0.012642971224546,0,0,0,0,300,1,0.987357028775454,1,0,0
scale_small,T_parameter_out,M2R_plus_band_gate,300,300,115,0,0,8.67361737988404e-19,0.012642971224546,0,0,300,0,0,0,0,0,0,8.67361737988404e-19,0.012642971224546,NaN,NaN,NaN,0,8.67361737988404e-19,0.012642971224546,0,0,0,0,300,1,0.987357028775454,1,300,0
scale_small,T_library_out_20db,M2,240,0,0,0,NaN,NaN,NaN,0,0,240,0,0,0,0,0,0,0,0.0157539199415588,NaN,NaN,NaN,0,0,0.0157539199415588,0,0,0,0,240,1,0.984246080058441,1,0,0
scale_small,T_library_out_20db,M2R,240,0,0,0,NaN,NaN,NaN,0,0,240,0,0,0,0,0,0,0,0.0157539199415588,NaN,NaN,NaN,0,0,0.0157539199415588,0,0,0,0,240,1,0.984246080058441,1,0,0
scale_small,T_library_out_20db,M2R_plus_band_gate,240,0,0,0,NaN,NaN,NaN,0,0,240,0,0,0,0,0,0,0,0.0157539199415588,NaN,NaN,NaN,0,0,0.0157539199415588,0,0,0,0,240,1,0.984246080058441,1,236,0
scale_small,T_library_out_10db,M2,240,0,0,0,NaN,NaN,NaN,0,0,240,0,0,0,0,0,0,0,0.0157539199415588,NaN,NaN,NaN,0,0,0.0157539199415588,0,0,0,0,240,1,0.984246080058441,1,0,0
scale_small,T_library_out_10db,M2R,240,0,0,0,NaN,NaN,NaN,0,0,240,0,0,0,0,0,0,0,0.0157539199415588,NaN,NaN,NaN,0,0,0.0157539199415588,0,0,0,0,240,1,0.984246080058441,1,0,0
scale_small,T_library_out_10db,M2R_plus_band_gate,240,0,0,0,NaN,NaN,NaN,0,0,240,0,0,0,0,0,0,0,0.0157539199415588,NaN,NaN,NaN,0,0,0.0157539199415588,0,0,0,0,240,1,0.984246080058441,1,237,0
scale_medium,stage7a2_library_out_replay,M2,100,0,0,0,NaN,NaN,NaN,3.78,5,14,5,81,0,0,0,0,3.46944695195361e-18,0.0369934982069857,NaN,NaN,NaN,0,3.46944695195361e-18,0.0369934982069857,86,0.86,86,0.86,14,0.14,0.0852634365993913,0.221371882109638,0,0
scale_medium,stage7a2_library_out_replay,M2R,100,0,0,0,NaN,NaN,NaN,3.78,5,14,5,81,0,0,0,0,3.46944695195361e-18,0.0369934982069857,NaN,NaN,NaN,0,3.46944695195361e-18,0.0369934982069857,86,0.86,86,0.86,14,0.14,0.0852634365993913,0.221371882109638,0,0
scale_medium,D_in_library_development,M2,140,140,105,133,0.95,0.900392692704293,0.975571726963235,1.88571428571429,2,6,48,86,37,37,0,0,1.73472347597681e-18,0.026706200369413,0,0,0.0940578258372025,0.264285714285714,0.1982457740971,0.342915720362766,134,0.957142857142857,134,0.957142857142857,6,0.0428571428571429,0.0197875411075517,0.0903438420873401,0,0
scale_medium,D_in_library_development,M2R,140,140,105,133,0.95,0.900392692704293,0.975571726963235,1.88571428571429,2,6,48,86,37,37,0,0,1.73472347597681e-18,0.026706200369413,0,0,0.0940578258372025,0.264285714285714,0.1982457740971,0.342915720362766,134,0.957142857142857,134,0.957142857142857,6,0.0428571428571429,0.0197875411075517,0.0903438420873401,0,0
scale_medium,stage7a2_library_out_replay,M2R_plus_band_gate,100,0,0,0,NaN,NaN,NaN,3.78,5,14,5,81,0,0,0,0,3.46944695195361e-18,0.0369934982069857,NaN,NaN,NaN,0,3.46944695195361e-18,0.0369934982069857,86,0.86,86,0.86,14,0.14,0.0852634365993913,0.221371882109638,1,0
scale_medium,F_gate_calibration_diagnostic,M2,1400,1400,977,1338,0.955714285714286,0.943633465918181,0.965301080773375,1.98928571428571,2,46,434,920,376,376,0,0,0,0.00273639077728988,0,0,0.0101133215753247,0.268571428571429,0.246011176577002,0.292398238582772,1354,0.967142857142857,1352,0.965714285714286,48,0.0342857142857143,0.0259566280626299,0.0451635530613601,0,0
scale_medium,F_gate_calibration_diagnostic,M2R,1400,1400,977,1338,0.955714285714286,0.943633465918181,0.965301080773375,1.98928571428571,2,46,434,920,376,376,0,0,0,0.00273639077728988,0,0,0.0101133215753247,0.268571428571429,0.246011176577002,0.292398238582772,1354,0.967142857142857,1352,0.965714285714286,48,0.0342857142857143,0.0259566280626299,0.0451635530613601,0,0
scale_medium,F_gate_calibration_diagnostic,M2R_plus_band_gate,1400,1400,977,1338,0.955714285714286,0.943633465918181,0.965301080773375,1.98928571428571,2,46,434,920,373,373,0,0,0,0.00273639077728988,0,0,0.0101938327930153,0.266428571428571,0.243932876256156,0.29020255200695,1354,0.967142857142857,1312,0.937142857142857,88,0.0628571428571429,0.051301040686816,0.0768056323927574,69,40
scale_medium,R_independent_risk_audit,M2,210,210,147,203,0.966666666666667,0.932805608004766,0.983761277953236,2.03809523809524,2,6,61,143,54,54,0,0,0,0.0179640507592832,0,0,0.0664135880908964,0.257142857142857,0.202764313773396,0.320246796595399,204,0.971428571428571,204,0.971428571428571,6,0.0285714285714286,0.0131589459606746,0.060921444755221,0,0
scale_medium,R_independent_risk_audit,M2R,210,210,147,203,0.966666666666667,0.932805608004766,0.983761277953236,2.03809523809524,2,6,61,143,54,54,0,0,0,0.0179640507592832,0,0,0.0664135880908964,0.257142857142857,0.202764313773396,0.320246796595399,204,0.971428571428571,204,0.971428571428571,6,0.0285714285714286,0.0131589459606746,0.060921444755221,0,0
scale_medium,R_independent_risk_audit,M2R_plus_band_gate,210,210,147,203,0.966666666666667,0.932805608004766,0.983761277953236,2.03809523809524,2,6,61,143,52,52,0,0,0,0.0179640507592832,0,0,0.0687922361238623,0.247619047619048,0.194124157005618,0.310181506710973,204,0.971428571428571,197,0.938095238095238,13,0.0619047619047619,0.0365308582636261,0.103018595734984,12,7
scale_medium,T_in_library_20db,M2,700,700,504,657,0.938571428571429,0.918277988041809,0.954077557806221,1.96857142857143,2,35,209,456,183,183,0,0,0,0.00545784675306083,0,0,0.0205599915829209,0.261428571428571,0.230241943853656,0.29521937159709,665,0.95,664,0.948571428571429,36,0.0514285714285714,0.0373768763276418,0.07037673475939,0,0
scale_medium,T_in_library_20db,M2R,700,700,504,657,0.938571428571429,0.918277988041809,0.954077557806221,1.96857142857143,2,35,209,456,183,183,0,0,0,0.00545784675306083,0,0,0.0205599915829209,0.261428571428571,0.230241943853656,0.29521937159709,665,0.95,664,0.948571428571429,36,0.0514285714285714,0.0373768763276418,0.07037673475939,0,0
scale_medium,T_in_library_20db,M2R_plus_band_gate,700,700,504,657,0.938571428571429,0.918277988041809,0.954077557806221,1.96857142857143,2,35,209,456,179,179,0,0,0,0.00545784675306083,0,0,0.0210097799780809,0.255714285714286,0.224790164923611,0.289304954490028,665,0.95,645,0.921428571428571,55,0.0785714285714286,0.0608608391781399,0.100882203085154,45,19
scale_medium,T_in_library_10db,M2,700,700,500,339,0.484285714285714,0.447451007942441,0.521291952955512,0.888571428571429,0,354,139,207,115,115,0,0,0,0.00545784675306083,0,0,0.0323242314493131,0.164285714285714,0.138682661600935,0.193553321218977,346,0.494285714285714,345,0.492857142857143,355,0.507142857142857,0.470169000836712,0.544038744209672,0,0
scale_medium,T_in_library_10db,M2R,700,700,500,339,0.484285714285714,0.447451007942441,0.521291952955512,0.888571428571429,0,354,139,207,115,115,0,0,0,0.00545784675306083,0,0,0.0323242314493131,0.164285714285714,0.138682661600935,0.193553321218977,346,0.494285714285714,345,0.492857142857143,355,0.507142857142857,0.470169000836712,0.544038744209672,0,0
scale_medium,T_in_library_10db,M2R_plus_band_gate,700,700,500,339,0.484285714285714,0.447451007942441,0.521291952955512,0.888571428571429,0,354,139,207,112,112,0,0,0,0.00545784675306083,0,3.46944695195361e-18,0.0331613470669439,0.16,0.134708327198437,0.189003008593644,346,0.494285714285714,334,0.477142857142857,366,0.522857142857143,0.48583217792096,0.559632606227472,177,11
scale_medium,T_parameter_out,M2,700,700,146,0,0,0,0.00545784675306083,0,0,700,0,0,0,0,0,0,0,0.00545784675306083,NaN,NaN,NaN,0,0,0.00545784675306083,0,0,0,0,700,1,0.994542153246939,1,0,0
scale_medium,T_parameter_out,M2R,700,700,146,0,0,0,0.00545784675306083,0,0,700,0,0,0,0,0,0,0,0.00545784675306083,NaN,NaN,NaN,0,0,0.00545784675306083,0,0,0,0,700,1,0.994542153246939,1,0,0
scale_medium,T_parameter_out,M2R_plus_band_gate,700,700,146,0,0,0,0.00545784675306083,0,0,700,0,0,0,0,0,0,0,0.00545784675306083,NaN,NaN,NaN,0,0,0.00545784675306083,0,0,0,0,700,1,0.994542153246939,1,700,0
scale_medium,T_library_out_20db,M2,240,0,0,0,NaN,NaN,NaN,0.4125,0,194,12,34,0,0,0,0,0,0.0157539199415588,NaN,NaN,NaN,0,0,0.0157539199415588,46,0.191666666666667,18,0.075,222,0.925,0.884573933408134,0.952035234641541,0,0
scale_medium,T_library_out_20db,M2R,240,0,0,0,NaN,NaN,NaN,0.4125,0,194,12,34,0,0,0,0,0,0.0157539199415588,NaN,NaN,NaN,0,0,0.0157539199415588,46,0.191666666666667,18,0.075,222,0.925,0.884573933408134,0.952035234641541,0,0
scale_medium,T_library_out_20db,M2R_plus_band_gate,240,0,0,0,NaN,NaN,NaN,0.4125,0,194,12,34,0,0,0,0,0,0.0157539199415588,NaN,NaN,NaN,0,0,0.0157539199415588,46,0.191666666666667,18,0.075,222,0.925,0.884573933408134,0.952035234641541,177,9
scale_medium,T_library_out_10db,M2,240,0,0,0,NaN,NaN,NaN,0.0791666666666667,0,229,6,5,2,0,2,0.00833333333333333,0.00228828328697423,0.0298697379888919,1,0.342380227506653,1,0.00833333333333333,0.00228828328697423,0.0298697379888919,11,0.0458333333333333,6,0.025,234,0.975,0.946540740541517,0.988493035514002,0,0
scale_medium,T_library_out_10db,M2R,240,0,0,0,NaN,NaN,NaN,0.0791666666666667,0,229,6,5,2,0,2,0.00833333333333333,0.00228828328697423,0.0298697379888919,1,0.342380227506653,1,0.00833333333333333,0.00228828328697423,0.0298697379888919,11,0.0458333333333333,6,0.025,234,0.975,0.946540740541517,0.988493035514002,0,0
scale_medium,T_library_out_10db,M2R_plus_band_gate,240,0,0,0,NaN,NaN,NaN,0.0791666666666667,0,229,6,5,2,0,2,0.00833333333333333,0.00228828328697423,0.0298697379888919,1,0.342380227506653,1,0.00833333333333333,0.00228828328697423,0.0298697379888919,11,0.0458333333333333,6,0.025,234,0.975,0.946540740541517,0.988493035514002,201,2
scale_large,stage7a2_library_out_replay,M2,100,0,0,0,NaN,NaN,NaN,7.45,9,13,4,83,0,0,0,0,3.46944695195361e-18,0.0369934982069857,NaN,NaN,NaN,0,3.46944695195361e-18,0.0369934982069857,87,0.87,76,0.76,24,0.24,0.166913255569488,0.332323363498145,0,0
scale_large,stage7a2_library_out_replay,M2R,100,0,0,0,NaN,NaN,NaN,7.45,9,13,4,83,0,0,0,0,3.46944695195361e-18,0.0369934982069857,NaN,NaN,NaN,0,3.46944695195361e-18,0.0369934982069857,87,0.87,76,0.76,24,0.24,0.166913255569488,0.332323363498145,0,0
scale_large,D_in_library_development,M2,460,460,305,440,0.956521739130435,0.933801024790199,0.971680777263115,7.71086956521739,7,17,48,395,44,44,0,0,0,0.00828183584637075,0,0,0.0802956037584807,0.0956521739130435,0.0720265513789787,0.125975281088086,443,0.96304347826087,443,0.96304347826087,17,0.0369565217391304,0.0231998193378742,0.0583829242937648,0,0
scale_large,D_in_library_development,M2R,460,460,305,440,0.956521739130435,0.933801024790199,0.971680777263115,7.71086956521739,7,17,48,395,0,0,0,0,0,0.00828183584637075,NaN,NaN,NaN,0,0,0.00828183584637075,443,0.96304347826087,443,0.96304347826087,17,0.0369565217391304,0.0231998193378742,0.0583829242937648,0,0
scale_large,stage7a2_library_out_replay,M2R_plus_band_gate,100,0,0,0,NaN,NaN,NaN,7.45,9,13,4,83,0,0,0,0,3.46944695195361e-18,0.0369934982069857,NaN,NaN,NaN,0,3.46944695195361e-18,0.0369934982069857,87,0.87,76,0.76,24,0.24,0.166913255569488,0.332323363498145,1,0
scale_large,F_gate_calibration_diagnostic,M2,4600,4600,3072,4379,0.95195652173913,0.945390394608957,0.957768421173787,7.75673913043478,7,167,493,3940,401,401,0,0,0,0.00083440293395293,0,0,0.0094887979899201,0.0871739130434783,0.0793626450458746,0.0956741076374196,4433,0.963695652173913,4430,0.96304347826087,170,0.0369565217391304,0.0318797104519441,0.0428060626999341,0,0
scale_large,F_gate_calibration_diagnostic,M2R,4600,4600,3072,4379,0.95195652173913,0.945390394608957,0.957768421173787,7.75673913043478,7,167,493,3940,0,0,0,0,0,0.00083440293395293,NaN,NaN,NaN,0,0,0.00083440293395293,4433,0.963695652173913,4430,0.96304347826087,170,0.0369565217391304,0.0318797104519441,0.0428060626999341,0,0
scale_large,F_gate_calibration_diagnostic,M2R_plus_band_gate,4600,4600,3072,4379,0.95195652173913,0.945390394608957,0.957768421173787,7.75673913043478,7,167,493,3940,0,0,0,0,0,0.00083440293395293,NaN,NaN,NaN,0,0,0.00083440293395293,4433,0.963695652173913,4307,0.936304347826087,293,0.063695652173913,0.0569960602963061,0.071123351307365,229,124
scale_large,R_independent_risk_audit,M2,690,690,419,646,0.936231884057971,0.915476225258988,0.95215714018332,7.72028985507246,7,26,74,590,58,57,1,0.00144927536231884,0.000255878515140459,0.00816313240793513,0.0172413793103448,0.0030500384460675,0.0914085809346801,0.0840579710144927,0.0655865435195434,0.107135131291278,664,0.96231884057971,663,0.960869565217391,27,0.0391304347826087,0.0270301071352641,0.0563339785436255,0,0
scale_large,R_independent_risk_audit,M2R,690,690,419,646,0.936231884057971,0.915476225258988,0.95215714018332,7.72028985507246,7,26,74,590,0,0,0,0,0,0.00553650804785197,NaN,NaN,NaN,0,0,0.00553650804785197,664,0.96231884057971,663,0.960869565217391,27,0.0391304347826087,0.0270301071352641,0.0563339785436255,0,0
scale_large,R_independent_risk_audit,M2R_plus_band_gate,690,690,419,646,0.936231884057971,0.915476225258988,0.95215714018332,7.72028985507246,7,26,74,590,0,0,0,0,0,0.00553650804785197,NaN,NaN,NaN,0,0,0.00553650804785197,664,0.96231884057971,633,0.917391304347826,57,0.0826086956521739,0.0643059569090842,0.105533215026514,42,31
scale_large,T_in_library_20db,M2,2300,2300,1469,2184,0.949565217391304,0.939848094374981,0.957783117218278,7.80565217391304,7,76,239,1985,193,193,0,0,0,0.00166741457229462,0,0,0.0195154966017264,0.0839130434782609,0.0732640711779165,0.0959495946878974,2224,0.96695652173913,2222,0.966086956521739,78,0.0339130434782609,0.0272582862455247,0.0421221210775186,0,0
scale_large,T_in_library_20db,M2R,2300,2300,1469,2184,0.949565217391304,0.939848094374981,0.957783117218278,7.80565217391304,7,76,239,1985,0,0,0,0,0,0.00166741457229462,NaN,NaN,NaN,0,0,0.00166741457229462,2224,0.96695652173913,2222,0.966086956521739,78,0.0339130434782609,0.0272582862455247,0.0421221210775186,0,0
scale_large,T_in_library_20db,M2R_plus_band_gate,2300,2300,1469,2184,0.949565217391304,0.939848094374981,0.957783117218278,7.80565217391304,7,76,239,1985,0,0,0,0,0,0.00166741457229462,NaN,NaN,NaN,0,0,0.00166741457229462,2224,0.96695652173913,2150,0.934782608695652,150,0.0652173913043478,0.055834042145576,0.0760506661781585,117,73
scale_large,T_in_library_10db,M2,2300,2300,1435,1251,0.543913043478261,0.523501591319585,0.564178053139718,2.74608695652174,1,992,255,1053,176,176,0,0,0,0.00166741457229462,0,0,0.0213602516676877,0.0765217391304348,0.0663499677745355,0.0881057381327819,1308,0.568695652173913,1307,0.568260869565217,993,0.431739130434783,0.411626798154042,0.452079101052784,0,0
scale_large,T_in_library_10db,M2R,2300,2300,1435,1251,0.543913043478261,0.523501591319585,0.564178053139718,2.74608695652174,1,992,255,1053,0,0,0,0,0,0.00166741457229462,NaN,NaN,NaN,0,0,0.00166741457229462,1308,0.568695652173913,1307,0.568260869565217,993,0.431739130434783,0.411626798154042,0.452079101052784,0,0
scale_large,T_in_library_10db,M2R_plus_band_gate,2300,2300,1435,1251,0.543913043478261,0.523501591319585,0.564178053139718,2.74608695652174,1,992,255,1053,0,0,0,0,0,0.00166741457229462,NaN,NaN,NaN,0,0,0.00166741457229462,1308,0.568695652173913,1217,0.529130434782609,1083,0.470869565217391,0.450535766326445,0.491300509131246,631,91
scale_large,T_parameter_out,M2,2300,2300,170,0,0,0,0.00166741457229462,0,0,2300,0,0,0,0,0,0,0,0.00166741457229462,NaN,NaN,NaN,0,0,0.00166741457229462,0,0,0,0,2300,1,0.998332585427705,1,0,0
scale_large,T_parameter_out,M2R,2300,2300,170,0,0,0,0.00166741457229462,0,0,2300,0,0,0,0,0,0,0,0.00166741457229462,NaN,NaN,NaN,0,0,0.00166741457229462,0,0,0,0,2300,1,0.998332585427705,1,0,0
scale_large,T_parameter_out,M2R_plus_band_gate,2300,2300,170,0,0,0,0.00166741457229462,0,0,2300,0,0,0,0,0,0,0,0.00166741457229462,NaN,NaN,NaN,0,0,0.00166741457229462,0,0,0,0,2300,1,0.998332585427705,1,2300,0
scale_large,T_library_out_20db,M2,240,0,0,0,NaN,NaN,NaN,7.39166666666667,7,22,26,192,17,0,17,0.0708333333333333,0.0446919370371777,0.110496844245994,1,0.815681864991148,1,0.0708333333333333,0.0446919370371777,0.110496844245994,218,0.908333333333333,192,0.8,48,0.2,0.154298366888014,0.255153985076921,0,0
scale_large,T_library_out_20db,M2R,240,0,0,0,NaN,NaN,NaN,7.39166666666667,7,22,26,192,0,0,0,0,0,0.0157539199415588,NaN,NaN,NaN,0,0,0.0157539199415588,218,0.908333333333333,192,0.8,48,0.2,0.154298366888014,0.255153985076921,0,0
scale_large,T_library_out_20db,M2R_plus_band_gate,240,0,0,0,NaN,NaN,NaN,7.39166666666667,7,22,26,192,0,0,0,0,0,0.0157539199415588,NaN,NaN,NaN,0,0,0.0157539199415588,218,0.908333333333333,187,0.779166666666667,53,0.220833333333333,0.172981367864088,0.277481237436616,32,15
scale_large,T_library_out_10db,M2,240,0,0,0,NaN,NaN,NaN,2.94166666666667,1,115,18,107,10,0,10,0.0416666666666667,0.0227874227092482,0.0749870039038474,1,0.722467200137111,1,0.0416666666666667,0.0227874227092482,0.0749870039038474,125,0.520833333333333,105,0.4375,135,0.5625,0.49924250699979,0.623788253007515,0,0
scale_large,T_library_out_10db,M2R,240,0,0,0,NaN,NaN,NaN,2.94166666666667,1,115,18,107,0,0,0,0,0,0.0157539199415588,NaN,NaN,NaN,0,0,0.0157539199415588,125,0.520833333333333,105,0.4375,135,0.5625,0.49924250699979,0.623788253007515,0,0
scale_large,T_library_out_10db,M2R_plus_band_gate,240,0,0,0,NaN,NaN,NaN,2.94166666666667,1,115,18,107,0,0,0,0,0,0.0157539199415588,NaN,NaN,NaN,0,0,0.0157539199415588,125,0.520833333333333,91,0.379166666666667,149,0.620833333333333,0.558002848146698,0.679856621200759,108,25
