sample_id,physical_scenario_id,split,category,truth_topology_id,truth_set,truth_index,parameter_vector_hash,noiseless_cfr_hash,observation_hash,case_seed,scientific_hash
stage4a7_2_development_in_domain_03_04,stage4a7_2_development_in_domain_03_04,development,in_domain,G003,G003,3,55e9da3775780af6107fe4532116272475e395e2d7cdae07fa7dae3658f6ed88,deece6f9668a608e1ae490ba2873c3a8887b47073647f31666f12b07036cab64,deece6f9668a608e1ae490ba2873c3a8887b47073647f31666f12b07036cab64,20265742,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_03_05,stage4a7_2_development_in_domain_03_05,development,in_domain,G003,G003,3,7db698ff984244e14fdd72914ce745374db67a7f0d3d6f6c13379c9789f8ea33,1a5c0feae701cb59b7cb0149b9c0cb1f10d52bbebd0bc1693739cef317534dca,1a5c0feae701cb59b7cb0149b9c0cb1f10d52bbebd0bc1693739cef317534dca,20265743,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_03_06,stage4a7_2_development_in_domain_03_06,development,in_domain,G003,G003,3,d4c2d1d80cb4b6a8cfd69c8b631c466ca699976ae044f06f84f9c1476530a372,a683323e9cb5d72f34612ea96ab01a5070406d24b979132141582d79ba30721a,a683323e9cb5d72f34612ea96ab01a5070406d24b979132141582d79ba30721a,20265744,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_03_07,stage4a7_2_development_in_domain_03_07,development,in_domain,G003,G003,3,55b27d16f6e9c120894abc0d8aba8ca0325375121447d9445bfbcbc929899a4c,58c0c92191a6d9393aa4c9f98fe589416bb81df3513b44dc6e61c6f56569c48c,58c0c92191a6d9393aa4c9f98fe589416bb81df3513b44dc6e61c6f56569c48c,20265745,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_03_08,stage4a7_2_development_in_domain_03_08,development,in_domain,G003,G003,3,7e5d8bc61d7b2f355bde5445f2a68862ce09d127a9ee7c4acb6f8ffd86ad06e4,81a849f96cb4b40f35d3c24c3901246187860fb77dcbd3b9cfcf503a3694ed3c,81a849f96cb4b40f35d3c24c3901246187860fb77dcbd3b9cfcf503a3694ed3c,20265746,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_03_09,stage4a7_2_development_in_domain_03_09,development,in_domain,G003,G003,3,91bc61c68321622d1df80e4b11c6a45734d931480f9298df6d35026e802f0b20,1525d757d9638d8d6b4c0a4db4ef6bf8507e83f174de98db802ea16577a0a187,1525d757d9638d8d6b4c0a4db4ef6bf8507e83f174de98db802ea16577a0a187,20265747,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_03_10,stage4a7_2_development_in_domain_03_10,development,in_domain,G003,G003,3,e2782f794225fbe13c7dd563c8b2f7e79fc680bc839351c126e29a06fff05ce2,f5d0e44d9b6ae6598a816fb35360629e2df1c146684bfbd9ddec06559d576916,f5d0e44d9b6ae6598a816fb35360629e2df1c146684bfbd9ddec06559d576916,20265748,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_04_01,stage4a7_2_development_in_domain_04_01,development,in_domain,G004,G004,4,7b0e64b36ef66789e2caf02f1b6ac474e95002ae1e01abd426d5f05c785d0851,6b76d4531f7777a6b0b8a9eae1c21c207999e298fbc218b0af08bda87c7de10b,6b76d4531f7777a6b0b8a9eae1c21c207999e298fbc218b0af08bda87c7de10b,20266748,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_04_02,stage4a7_2_development_in_domain_04_02,development,in_domain,G004,G004,4,ef7fb565a3707205bbaada9718a1855c77b4bcd7e0c6a5e5114980dc7c0921fd,c057ac306dec57c514f89f2e49c6717c43df96b9881d3b88b50dcae186922333,c057ac306dec57c514f89f2e49c6717c43df96b9881d3b88b50dcae186922333,20266749,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_04_03,stage4a7_2_development_in_domain_04_03,development,in_domain,G004,G004,4,6b23624a00c10094191e6d178640706400dcdeea97bdb64ec5ffc3af5b80b457,a45c533e431593895779a346c19d4ec7ce99e4132a18500a4160125cb0d8e2dc,a45c533e431593895779a346c19d4ec7ce99e4132a18500a4160125cb0d8e2dc,20266750,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_04_04,stage4a7_2_development_in_domain_04_04,development,in_domain,G004,G004,4,a9df3651261ed41657945e64107945b958e4b3e5e331de31a2a978a5a5d2e0af,61e08c05ece8a4592e2c3815b4283e9f797d0f50d73720f30f119aa6bf13ed7d,61e08c05ece8a4592e2c3815b4283e9f797d0f50d73720f30f119aa6bf13ed7d,20266751,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_04_05,stage4a7_2_development_in_domain_04_05,development,in_domain,G004,G004,4,4b32cbf6212c81ab4546166fcac981a908eee26e5b378dd46683492be44b195c,602a6ff3823e91106d968e3b66a463903cd69a1124bddb00c46e04e3fb9f7be5,602a6ff3823e91106d968e3b66a463903cd69a1124bddb00c46e04e3fb9f7be5,20266752,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_04_06,stage4a7_2_development_in_domain_04_06,development,in_domain,G004,G004,4,bba8b71c0d95ff862c71dd563e47ec4a2cb86e7e2e2b3549570d7fda5593e41a,886a1ad1185446b9d4a7f2b2a56a5a185fd2206418b6a8bf3856d85574f25b8c,886a1ad1185446b9d4a7f2b2a56a5a185fd2206418b6a8bf3856d85574f25b8c,20266753,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_04_07,stage4a7_2_development_in_domain_04_07,development,in_domain,G004,G004,4,384462227413803ec015ea49ef6feb33000ef3a5512db50d1e6d45b9eb8cfa8d,69ff38f43c4dcc99d454392b67648dc84583dd722e85ee6b058ffaa9e531276d,69ff38f43c4dcc99d454392b67648dc84583dd722e85ee6b058ffaa9e531276d,20266754,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_04_08,stage4a7_2_development_in_domain_04_08,development,in_domain,G004,G004,4,15afd9aee7fb5fb1dc38c0081fc5b610e9cb21ffa31d062401cbeb26b8707311,ddafd4d0c692493671ce8a77a55696446f4bf208a31ad47bf7907839b1a65d6b,ddafd4d0c692493671ce8a77a55696446f4bf208a31ad47bf7907839b1a65d6b,20266755,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_04_09,stage4a7_2_development_in_domain_04_09,development,in_domain,G004,G004,4,2977cb11bdd8a2acf34f59d5da86d352a2c902f5da86bdfa3c5b52c9c9e94c24,9b02f5bc0c3c5dd52ec9ccebb7165e4d11746549b40552df3c630bc3f088e613,9b02f5bc0c3c5dd52ec9ccebb7165e4d11746549b40552df3c630bc3f088e613,20266756,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_04_10,stage4a7_2_development_in_domain_04_10,development,in_domain,G004,G004,4,cd17f3ebec937f1397534de0d41e33d78a10bc0d87081f8ffcb8996e69fc6429,3bb04dc79f8cf2608aec2061666a87f4d2d7edfe966a2260c5efef57284c1c53,3bb04dc79f8cf2608aec2061666a87f4d2d7edfe966a2260c5efef57284c1c53,20266757,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_05_01,stage4a7_2_development_in_domain_05_01,development,in_domain,G005,G005,5,80157417ad2fe6af556cb9a121eb49ac58e65da909bb3ea2e29716cc0a1bc267,fd8146ef47dd08acccab669178cf4894fe8bdd7f2ac36f736cf80c92f45bc445,fd8146ef47dd08acccab669178cf4894fe8bdd7f2ac36f736cf80c92f45bc445,20267757,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_05_02,stage4a7_2_development_in_domain_05_02,development,in_domain,G005,G005,5,22d939bbf26b7f9197cf0fca4204549c8e91005755aaef969d0db1da836e5243,51d1fda3eb1c0dab28d8ee96e6bcaaeac250c4a8ca6f5bacee8862ae6c04c4a4,51d1fda3eb1c0dab28d8ee96e6bcaaeac250c4a8ca6f5bacee8862ae6c04c4a4,20267758,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_05_03,stage4a7_2_development_in_domain_05_03,development,in_domain,G005,G005,5,3773c1a3aed0375e2158e918041a8a050dabedc9e79f663fc2168cebb5ffa5db,b799c235bf9f96016ba36a33dac5fd0e39933f875fcf06c955a5b3b8d82bc086,b799c235bf9f96016ba36a33dac5fd0e39933f875fcf06c955a5b3b8d82bc086,20267759,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_05_04,stage4a7_2_development_in_domain_05_04,development,in_domain,G005,G005,5,500a6c5a55cf769cd067da2bb0169f6702e5f5e3be536c55c01d202d4e0bc513,1a43fd9f64eb8456fe76e88fc41fe7bcf804d7e58bdbd20956138b7accf0ec4c,1a43fd9f64eb8456fe76e88fc41fe7bcf804d7e58bdbd20956138b7accf0ec4c,20267760,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_05_05,stage4a7_2_development_in_domain_05_05,development,in_domain,G005,G005,5,cd0d9e79f36dc8a13efeebd98da50b7538e55a69a77a7310e5ae85ebeb813717,18dd4959fd4c229bac13859deec7305222e9cc3a05afb8be57032c0bdfe208cb,18dd4959fd4c229bac13859deec7305222e9cc3a05afb8be57032c0bdfe208cb,20267761,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_05_06,stage4a7_2_development_in_domain_05_06,development,in_domain,G005,G005,5,83075bc70501238b584279adf7ceb10752a8b01e949d851825d738a2e95e94b5,04e3898634f7bfee8a18e9aa901c2513248a8ce4e629189158bd0a8154e93cba,04e3898634f7bfee8a18e9aa901c2513248a8ce4e629189158bd0a8154e93cba,20267762,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_05_07,stage4a7_2_development_in_domain_05_07,development,in_domain,G005,G005,5,0dadc4f13fe7404963caaec31b04f68ee8e775d91b781e624743e261c35882b8,a5db2e96bcfe8df311fe384e528fa38c3a1c63ea9f6fc45eea7ad0df7e9265d6,a5db2e96bcfe8df311fe384e528fa38c3a1c63ea9f6fc45eea7ad0df7e9265d6,20267763,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_05_08,stage4a7_2_development_in_domain_05_08,development,in_domain,G005,G005,5,14536e227908f7d76b6a0d267dd572911efdebd54475b382a53f530dd7752be6,4fa03d7639a86b2e3beae819ac4b2370c3d6b778c494063cc720ef4353f7185d,4fa03d7639a86b2e3beae819ac4b2370c3d6b778c494063cc720ef4353f7185d,20267764,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_05_09,stage4a7_2_development_in_domain_05_09,development,in_domain,G005,G005,5,881b30357764141612a2b3c9b87cb53804074b88d6a7ea5bebdbebb0b8f5f1ab,2b4b53779de263b4940e93ea231ea05ac78432de7aed2fcb81a92a6f1e7cc3e6,2b4b53779de263b4940e93ea231ea05ac78432de7aed2fcb81a92a6f1e7cc3e6,20267765,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_05_10,stage4a7_2_development_in_domain_05_10,development,in_domain,G005,G005,5,cd5cda1da5f9f1843e4ed8582bb2c34d09dc263573c7f0754f96506898411f11,e11f61607ac0771df4d51a52a254ab3d6f76494df47b10be6d7542ee33837bb6,e11f61607ac0771df4d51a52a254ab3d6f76494df47b10be6d7542ee33837bb6,20267766,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_06_01,stage4a7_2_development_in_domain_06_01,development,in_domain,G006,G006,6,7e2cc7d3efb3435f906359b379e7e94a362a02cd5cf75a391d4cf3c22a2de37c,d7ef8af24ab80d84782671b07c5dbb93555967dbd4072883f60b5aed84f70875,d7ef8af24ab80d84782671b07c5dbb93555967dbd4072883f60b5aed84f70875,20268766,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_06_02,stage4a7_2_development_in_domain_06_02,development,in_domain,G006,G006,6,107027bd60db90bb052b30bfe63b3395a6b11a824bc5089a985bddc2c1ae0dad,1e9db6be7f0870c1185d86fa5d4f085c01fc36f94f1b4271e1d9fd22f6996280,1e9db6be7f0870c1185d86fa5d4f085c01fc36f94f1b4271e1d9fd22f6996280,20268767,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_06_03,stage4a7_2_development_in_domain_06_03,development,in_domain,G006,G006,6,1a731a5012744b498ff20b159e9af3a3959ecde0daacd1056289f301c9b07e6d,aa31bdbba90a8938e7421a32d60a733269400403ab5cf96aa0749f3290e12291,aa31bdbba90a8938e7421a32d60a733269400403ab5cf96aa0749f3290e12291,20268768,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_06_04,stage4a7_2_development_in_domain_06_04,development,in_domain,G006,G006,6,a83576074cf82b1ff10eb7a9bbdc01a64a206bd3f01407262460cece893676c8,7bd5ac02ad599e3f942949b97e5ace6d541e9961ee42874a88208886df024b71,7bd5ac02ad599e3f942949b97e5ace6d541e9961ee42874a88208886df024b71,20268769,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_06_05,stage4a7_2_development_in_domain_06_05,development,in_domain,G006,G006,6,3efdb7d0719774084a53f9da0c30aa8d14f2dbde4662c6dd77818d37e0603032,4f3b5c20cbe5ef2310f8c4f71583d3b96109f26151989517b9be61fa722e8191,4f3b5c20cbe5ef2310f8c4f71583d3b96109f26151989517b9be61fa722e8191,20268770,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_06_06,stage4a7_2_development_in_domain_06_06,development,in_domain,G006,G006,6,ad38e93c195655eeb8a8f414198f169ffd87ac49b2b68fc179fa9c869b471615,31e478f693dceb2c1c47ee064ae9506f006d5bdfa36f3806ee5c55c5681ffa80,31e478f693dceb2c1c47ee064ae9506f006d5bdfa36f3806ee5c55c5681ffa80,20268771,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_06_07,stage4a7_2_development_in_domain_06_07,development,in_domain,G006,G006,6,4d1686c9b6cf3b04fa09ddc45ea6922ab649a5cca814c579b6bbb8693dfd8951,deabf68aeb9d3f637346d4ea98b8d0a7732ad1b012145ecd215119dd3a442066,deabf68aeb9d3f637346d4ea98b8d0a7732ad1b012145ecd215119dd3a442066,20268772,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_06_08,stage4a7_2_development_in_domain_06_08,development,in_domain,G006,G006,6,b24fe40470a97599c44396834026864a035d2f353d46ac7b5e0e5e2b314356ad,a7846ee57a6d0d94c4f3b2c8f702ebb9e70bf29ef57d7cf3f45b8120758a2ac2,a7846ee57a6d0d94c4f3b2c8f702ebb9e70bf29ef57d7cf3f45b8120758a2ac2,20268773,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_06_09,stage4a7_2_development_in_domain_06_09,development,in_domain,G006,G006,6,76d3591c00d33dc64fc8861228ee214cff8febbd70f1e89c7cdc9cdf994e5bca,4790da8af511f6a73bd836e89d76efed7f0d873fb853d1d38c890bf7f4bb76c6,4790da8af511f6a73bd836e89d76efed7f0d873fb853d1d38c890bf7f4bb76c6,20268774,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_06_10,stage4a7_2_development_in_domain_06_10,development,in_domain,G006,G006,6,1a2e37fcd75c008c7878cbb3db5203fbee4e8b243f3f61eebf2f5797faaa148f,15d0dddda4cc14a1e677ba4971b3019efdd0b9ca083a3e3465ea98a70cbb9e33,15d0dddda4cc14a1e677ba4971b3019efdd0b9ca083a3e3465ea98a70cbb9e33,20268775,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_07_01,stage4a7_2_development_in_domain_07_01,development,in_domain,G007,G007,7,ac379918c44d4e332dc3c1298fbd37b57e6138913ffac3eee471bd8711022db3,8ac485097213984a50e0f01ee27104c08768b154bbef3ed91f9d548895462916,8ac485097213984a50e0f01ee27104c08768b154bbef3ed91f9d548895462916,20269775,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_07_02,stage4a7_2_development_in_domain_07_02,development,in_domain,G007,G007,7,516f0e52d39aea9e9df7cb872000a3f9e87fe7319c3d6ec026c6413e673ff4e6,afcb402814993a71834e508e2afc5a20a89711b85d915db4ed53e8c46b23de7f,afcb402814993a71834e508e2afc5a20a89711b85d915db4ed53e8c46b23de7f,20269776,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
