dataset,scenario,method,n,best_truth_k,correct_unique_k,false_unique_k,truth_set_coverage_k,domain_rejected_k,empty_set_k,unique_k,ambiguous_k,low_confidence_k,rejected_k,mean_candidate_set_size,correct_unique_wilson_low,correct_unique_wilson_high,set_coverage_wilson_low,set_coverage_wilson_high,false_unique_wilson_low,false_unique_wilson_high,mean_audit_time_s
independent_test,scale_small,stage6b_baseline,100,100,86,0,96,4,4,86,0,10,4,0.96,0.778628117890362,0.914736563400609,0.901629285641121,0.984336696008452,3.46944695195361e-18,0.0369934982069857,0.00072166
independent_test,scale_small,stage7a_original_reused,100,100,85,0,94,1,6,85,0,9,6,0.94,0.767164404091676,0.906940147163434,0.875231845541041,0.972213876036812,3.46944695195361e-18,0.0369934982069857,0.00036799
independent_test,scale_small,matched20_n20,100,100,86,0,89,0,11,86,0,3,11,0.89,0.778628117890362,0.914736563400609,0.813687034969197,0.937458036429354,3.46944695195361e-18,0.0369934982069857,0.00030799
independent_test,scale_small,matched20_n100,100,100,72,0,94,0,6,72,0,22,6,0.94,0.625119712900788,0.798603147888138,0.875231845541041,0.972213876036812,3.46944695195361e-18,0.0369934982069857,0.00029758
independent_test,scale_small,matched20_n200,100,100,86,0,97,1,3,86,0,11,3,0.97,0.778628117890362,0.914736563400609,0.915480635709472,0.989745475975961,3.46944695195361e-18,0.0369934982069857,0.00030059
independent_test,scale_small,snr35_n100,100,100,77,0,94,5,6,77,0,17,6,0.94,0.678456169771262,0.841567341196965,0.875231845541041,0.972213876036812,3.46944695195361e-18,0.0369934982069857,0.00030512
independent_test,scale_small,nuisance_broad20_n100,100,100,78,0,99,0,1,78,0,21,1,0.99,0.689296464850142,0.849987176153946,0.945513803821295,0.998232567935859,3.46944695195361e-18,0.0369934982069857,0.00031886
independent_test,scale_small,combined_broad35_n20,100,100,73,0,94,5,6,73,0,21,6,0.94,0.63567883232055,0.807304158504237,0.875231845541041,0.972213876036812,3.46944695195361e-18,0.0369934982069857,0.00030543
independent_test,scale_small,combined_broad35_n100,100,100,77,0,94,3,6,77,0,17,6,0.94,0.678456169771262,0.841567341196965,0.875231845541041,0.972213876036812,3.46944695195361e-18,0.0369934982069857,0.00028784
independent_test,scale_small,originalset_split_evidence_n20,100,100,72,0,94,1,6,72,0,22,6,0.94,0.625119712900788,0.798603147888138,0.875231845541041,0.972213876036812,3.46944695195361e-18,0.0369934982069857,0.00026075
archived_replay,scale_medium,stage6b_baseline,10,10,10,0,10,0,0,10,0,0,0,1,0.722467200137111,1,0.722467200137111,1,0,0.277532799862889,0.000688
archived_replay,scale_medium,stage7a_original_reused,10,10,8,0,10,0,0,8,0,2,0,1,0.490162471536642,0.943317848545625,0.722467200137111,1,0,0.277532799862889,0.0004062
independent_test,scale_medium,stage6b_baseline,100,100,85,0,88,10,12,85,0,3,12,0.88,0.767164404091676,0.906940147163434,0.801879005732886,0.930005935629805,3.46944695195361e-18,0.0369934982069857,0.00065224
independent_test,scale_medium,stage7a_original_reused,100,100,94,0,100,0,0,94,0,6,0,1,0.875231845541041,0.972213876036812,0.963006501793014,1,3.46944695195361e-18,0.0369934982069857,0.00035006
independent_test,scale_medium,matched20_n20,100,100,64,0,97,2,3,64,0,33,3,0.97,0.542354024516087,0.727287795985957,0.915480635709472,0.989745475975961,3.46944695195361e-18,0.0369934982069857,0.00030183
independent_test,scale_medium,matched20_n100,100,100,86,0,94,1,6,86,0,8,6,0.94,0.778628117890362,0.914736563400609,0.875231845541041,0.972213876036812,3.46944695195361e-18,0.0369934982069857,0.00030238
independent_test,scale_medium,matched20_n200,100,100,88,0,94,3,6,88,0,6,6,0.94,0.801879005732886,0.930005935629805,0.875231845541041,0.972213876036812,3.46944695195361e-18,0.0369934982069857,0.00029643
independent_test,scale_medium,snr35_n100,100,100,75,0,96,5,4,75,0,20,5,0.96,0.656955364519384,0.824547886377123,0.901629285641121,0.984336696008452,3.46944695195361e-18,0.0369934982069857,0.00031467
independent_test,scale_medium,nuisance_broad20_n100,100,100,86,0,98,0,2,86,0,12,2,0.98,0.778628117890362,0.914736563400609,0.929988209271456,0.994498032449838,3.46944695195361e-18,0.0369934982069857,0.00032097
independent_test,scale_medium,combined_broad35_n20,100,100,80,0,95,5,5,80,0,14,6,0.95,0.711170834406841,0.866633066668968,0.888249530768081,0.978456320845632,3.46944695195361e-18,0.0369934982069857,0.00030561
independent_test,scale_medium,combined_broad35_n100,100,100,74,0,88,1,12,74,0,14,12,0.88,0.646290105508128,0.815953015352519,0.801879005732886,0.930005935629805,3.46944695195361e-18,0.0369934982069857,0.00029414
independent_test,scale_medium,originalset_split_evidence_n20,100,100,89,0,100,0,0,89,0,11,0,1,0.813687034969197,0.937458036429354,0.963006501793014,1,3.46944695195361e-18,0.0369934982069857,0.00029262
archived_replay,scale_large,stage6b_baseline,10,10,10,0,10,0,0,10,0,0,0,1,0.722467200137111,1,0.722467200137111,1,0,0.277532799862889,0.0011489
archived_replay,scale_large,stage7a_original_reused,10,10,4,0,10,0,0,4,0,6,0,1.6,0.168180329706236,0.687326230266342,0.722467200137111,1,0,0.277532799862889,0.0009449
independent_test,scale_large,stage6b_baseline,100,100,86,0,88,3,12,86,0,2,12,0.9,0.778628117890362,0.914736563400609,0.801879005732886,0.930005935629805,3.46944695195361e-18,0.0369934982069857,0.00102169
independent_test,scale_large,stage7a_original_reused,100,100,52,0,100,0,0,52,0,48,0,1.48,0.42316577765224,0.615354482419481,0.963006501793014,1,3.46944695195361e-18,0.0369934982069857,0.00071683
independent_test,scale_large,matched20_n20,100,100,49,0,99,0,1,49,0,50,1,1.49,0.394219989304411,0.586519880659728,0.945513803821295,0.998232567935859,3.46944695195361e-18,0.0369934982069857,0.00067845
independent_test,scale_large,matched20_n100,100,100,54,0,94,0,6,54,0,40,6,1.34,0.442648603233682,0.634391916909759,0.875231845541041,0.972213876036812,3.46944695195361e-18,0.0369934982069857,0.0006535
independent_test,scale_large,matched20_n200,100,100,53,0,97,0,3,53,0,44,3,1.41,0.432888569700994,0.624891820406587,0.915480635709472,0.989745475975961,3.46944695195361e-18,0.0369934982069857,0.00065843
independent_test,scale_large,snr35_n100,100,100,52,0,89,1,11,52,0,37,11,1.26,0.42316577765224,0.615354482419481,0.813687034969197,0.937458036429354,3.46944695195361e-18,0.0369934982069857,0.00064952
independent_test,scale_large,nuisance_broad20_n100,100,100,47,0,91,0,9,47,0,44,9,1.35,0.375108179593413,0.567111430299006,0.837737871472837,0.951927459997435,3.46944695195361e-18,0.0369934982069857,0.00063361
independent_test,scale_large,combined_broad35_n20,100,100,40,0,89,0,11,40,0,49,11,1.38,0.309401286432459,0.497997413208938,0.813687034969197,0.937458036429354,3.46944695195361e-18,0.0369934982069857,0.00064357
independent_test,scale_large,combined_broad35_n100,100,100,55,0,96,0,4,55,0,41,4,1.37,0.452446029974421,0.64385462020488,0.901629285641121,0.984336696008452,3.46944695195361e-18,0.0369934982069857,0.00066445
independent_test,scale_large,originalset_split_evidence_n20,100,100,52,0,100,0,0,52,0,48,0,1.48,0.42316577765224,0.615354482419481,0.963006501793014,1,3.46944695195361e-18,0.0369934982069857,0.00063175
