sample_id,category,truth_topology_id,truth_equivalence_set,truth_equivalence_member_count,truth_unique_under_observation,same_theta_equivalence_set,same_theta_equivalence_member_count,same_theta_equivalence_evaluable,composite_equivalence_set,composite_equivalence_member_count,equivalence_audit_hash,equivalence_configuration_hash,parameter_domain_truth,physical_scenario_id,outlier_dimension,outlier_severity,outlier_direction,parameter_vector_hash,noiseless_cfr_hash,observation_hash
r_pilot_G005_interior_01,in_domain_interior,G005,"G002,G005",2,0,G005,1,1,"G002,G005",2,96768b5a5c23fd77ea395be6962e22bd703774bdb9077b7a401acdcd32a5d505,63bd640a77017cc0f550e7b88dde5de11a17141eaee5637d018168c55e20ef59,in_domain,pilot_r_pilot_G005_interior_01,,,,3b30b4c334c25faca79f64f49b9d5515278b37eecc8d67e6bdc58ad10175036a,785d7044ef3d02a27516eca44038b4c6c3802759107cd51f613e0a4d01f6c45a,785d7044ef3d02a27516eca44038b4c6c3802759107cd51f613e0a4d01f6c45a
r_pilot_G005_boundary_01,in_domain_boundary,G005,"G002,G005",2,0,G005,1,1,"G002,G005",2,7b376524dba1e264888b564da05205f8a533d51da4c8a78a95e86ee328b5c194,63bd640a77017cc0f550e7b88dde5de11a17141eaee5637d018168c55e20ef59,in_domain,pilot_r_pilot_G005_boundary_01,main_length_scale,,upper,c2a7a268c643c94f55c6ca0f6cfeeeae4d893fcaf9bbc6c8abdcf7f70ad2288f,fe47241fa5dc51bf4709573239e19a0a6a4f5f96ce60437768a80c63436e43d3,fe47241fa5dc51bf4709573239e19a0a6a4f5f96ce60437768a80c63436e43d3
r_pilot_G005_receiver_impedance_ohm_near_lower_01,out_of_domain_near,G005,"G002,G005",2,0,G005,1,1,"G002,G005",2,ed179fa1eabc60a4b184b29b4d088147546e80af75fc4f047033be9fe93a8cf1,63bd640a77017cc0f550e7b88dde5de11a17141eaee5637d018168c55e20ef59,out_of_domain,pilot_r_pilot_G005_receiver_impedance_ohm_near_lower_01,receiver_impedance_ohm,near,lower,eaf3752ea86ae04ed3dde2ce7a0dc317058c50f09292bd3781519b020a379fa3,99b69787c9ccd0097768a3df3840eedfa1beac2789d651a39fc4ea7f772578ed,99b69787c9ccd0097768a3df3840eedfa1beac2789d651a39fc4ea7f772578ed
r_pilot_G005_main_length_scale_medium_upper_02,out_of_domain_medium,G005,"G002,G005",2,0,G005,1,1,"G007",1,fade9d9ca4913b48dfc9de851cf4de1528ed4bd58b30624e73decc98b15686c6,63bd640a77017cc0f550e7b88dde5de11a17141eaee5637d018168c55e20ef59,out_of_domain,pilot_r_pilot_G005_main_length_scale_medium_upper_02,main_length_scale,medium,upper,e5ea864e9a47ecc489d69ee6275dfccff2926a0cca56e3d0f5a25fe18a433ec3,6898d3990ae17216d76c45b602d7f337a32f8fd6c447286da6301ac8a4ae1b52,6898d3990ae17216d76c45b602d7f337a32f8fd6c447286da6301ac8a4ae1b52
r_pilot_G005_branch_length_scale_far_lower_03,out_of_domain_far,G005,"G002,G005",2,0,G005,1,1,"G002,G005",2,a22aa1b2c8771aadde87565c725de1a9669722eb0e1dd84a0544d6e5e3f8f536,63bd640a77017cc0f550e7b88dde5de11a17141eaee5637d018168c55e20ef59,out_of_domain,pilot_r_pilot_G005_branch_length_scale_far_lower_03,branch_length_scale,far,lower,789eea4ad843f624e9f3080914ed4bbcb4b6bc2ff18c5970af26873f4cbc7520,1d89e6f0d86e57beb669ac50fc81a9f2295362e2e327c965b599456f7318695e,1d89e6f0d86e57beb669ac50fc81a9f2295362e2e327c965b599456f7318695e
r_pilot_G006_interior_01,in_domain_interior,G006,"G006",1,1,G006,1,1,"G006",1,e59efea3850770a032d9e7aa44aadf21a171ac3ff3a26c7b1aa8c15601371c9b,63bd640a77017cc0f550e7b88dde5de11a17141eaee5637d018168c55e20ef59,in_domain,pilot_r_pilot_G006_interior_01,,,,ae4a52151290556c4baa55606222fc3a6730ea0d1f544623bd7465f7f8708318,30b5c5b1b18de6ebaad56c8a2595c27c01f3b9d5c7b7f650ad2a2545a9c3ad73,30b5c5b1b18de6ebaad56c8a2595c27c01f3b9d5c7b7f650ad2a2545a9c3ad73
r_pilot_G006_boundary_01,in_domain_boundary,G006,"G006",1,1,G006,1,1,"G006",1,547d159b7012863edfac504bc8c223399902ea0d84c6c68692036983042f6b51,63bd640a77017cc0f550e7b88dde5de11a17141eaee5637d018168c55e20ef59,in_domain,pilot_r_pilot_G006_boundary_01,main_length_scale,,lower,dd4516113a1ada0febe73c75e31f395e98c15c6c83638d1d246441a7ca1bf17c,976357e35586438ef5e59811bb8a9459bb46b74786f25082f7e3db268496fef0,976357e35586438ef5e59811bb8a9459bb46b74786f25082f7e3db268496fef0
r_pilot_G006_main_length_scale_near_upper_01,out_of_domain_near,G006,"G006",1,1,G006,1,1,"G006",1,f5fad8e4df536185a8340284defd3cd0b2a4bd8fa0749e3698a311694f297f03,63bd640a77017cc0f550e7b88dde5de11a17141eaee5637d018168c55e20ef59,out_of_domain,pilot_r_pilot_G006_main_length_scale_near_upper_01,main_length_scale,near,upper,c5cd21fef3260b48389b1da24a9c7ca1b9562fbe49533ffc6b48d420146fd66b,0d01f3f6dca517e9069e36ff245c6cecbf94b5ae0edc576279ff8c82aba12c32,0d01f3f6dca517e9069e36ff245c6cecbf94b5ae0edc576279ff8c82aba12c32
r_pilot_G006_branch_length_scale_medium_lower_02,out_of_domain_medium,G006,"G006",1,1,G006,1,1,"G006",1,cc96a90e530ec8057a8955beb69c1c18a0d6b17967ce0f7b5b7fa355307bd57d,63bd640a77017cc0f550e7b88dde5de11a17141eaee5637d018168c55e20ef59,out_of_domain,pilot_r_pilot_G006_branch_length_scale_medium_lower_02,branch_length_scale,medium,lower,79aecc339617a2f3d699b3acdc3068f51ec0d1c5096e0c78ef42a461014da9bb,bd7523a06543091f0ded213350ef330e82c4704a76ce2af36c8b81096619306e,bd7523a06543091f0ded213350ef330e82c4704a76ce2af36c8b81096619306e
r_pilot_G006_branch_load_scale_far_upper_03,out_of_domain_far,G006,"G006",1,1,G006,1,1,"G006",1,588469a5c1a0bdae4eed28ff6f08e105bfdf846e09b1187fc88308e5eae9e989,63bd640a77017cc0f550e7b88dde5de11a17141eaee5637d018168c55e20ef59,out_of_domain,pilot_r_pilot_G006_branch_load_scale_far_upper_03,branch_load_scale,far,upper,67e0b09604128c781a3b93a9736379032571cb33cd3a397da1e1d1c99325b4c5,a201f8c0466a729a2bdda77df49537e7923fb9683a58835eeedd0fee57efaa10,a201f8c0466a729a2bdda77df49537e7923fb9683a58835eeedd0fee57efaa10
r_pilot_G007_interior_01,in_domain_interior,G007,"G004,G007",2,0,G007,1,1,"G004,G007",2,dc87a57bb982a2a222169c17de001970d8706bc2b5e8cb3dc8a2118d979fff3e,63bd640a77017cc0f550e7b88dde5de11a17141eaee5637d018168c55e20ef59,in_domain,pilot_r_pilot_G007_interior_01,,,,a165510c4767cdc7f8d00d88f8028c6183ba84a24981c251bd39f3e3f0521acf,a921c607e760f75de0e925d679de82ac7659ee6b6e8bbde395e63c1eb7a7a59d,a921c607e760f75de0e925d679de82ac7659ee6b6e8bbde395e63c1eb7a7a59d
r_pilot_G007_boundary_01,in_domain_boundary,G007,"G004,G007",2,0,G007,1,1,"G004",1,d5665634ac4e4cdddd5b2606e13ac44efaee4669d38b75853b7f32e9d182e2ad,63bd640a77017cc0f550e7b88dde5de11a17141eaee5637d018168c55e20ef59,in_domain,pilot_r_pilot_G007_boundary_01,main_length_scale,,upper,5ab7f195cb7bdcb81a3bc7fa800a9621d5ce824a0def56207b611453a5ee0c6f,f6fd8df10b3f6d8a1758ca14722844925dddd38bf73cb6e32e4c443ef0ce7ae7,f6fd8df10b3f6d8a1758ca14722844925dddd38bf73cb6e32e4c443ef0ce7ae7
r_pilot_G007_branch_length_scale_near_lower_01,out_of_domain_near,G007,"G004,G007",2,0,G007,1,1,"G004",1,35781977d8b1007b20ee5d138d4807848d22cb4d022ab5e37257016827ef1399,63bd640a77017cc0f550e7b88dde5de11a17141eaee5637d018168c55e20ef59,out_of_domain,pilot_r_pilot_G007_branch_length_scale_near_lower_01,branch_length_scale,near,lower,ea0e73507a38225ff3e030752aab28ac48c9a5ff0a79cab79d13e87fa810be1e,efc087acb398a6e3f18f4f461b399228f950f390c1f057e11e06e06daf809c50,efc087acb398a6e3f18f4f461b399228f950f390c1f057e11e06e06daf809c50
r_pilot_G007_branch_load_scale_medium_upper_02,out_of_domain_medium,G007,"G004,G007",2,0,G007,1,1,"G004,G007",2,454a4fa22ee8ed25f069e3d510b2d22ddee1415b47835dba4296e8e3a46f86e5,63bd640a77017cc0f550e7b88dde5de11a17141eaee5637d018168c55e20ef59,out_of_domain,pilot_r_pilot_G007_branch_load_scale_medium_upper_02,branch_load_scale,medium,upper,08792e179b636269b4105c07af8f61bfd30663514e585a27fdbbffa396942abf,8e218ef456de45e997bc5b20e0b10d4f7b165e4df56b567432f1f64674f7672f,8e218ef456de45e997bc5b20e0b10d4f7b165e4df56b567432f1f64674f7672f
r_pilot_G007_source_impedance_ohm_far_lower_03,out_of_domain_far,G007,"G004,G007",2,0,G007,1,1,"G004,G007",2,e73a34bf85585026524485ab4495b395a3051aa1ec4897e1485b0dd46d9781dd,63bd640a77017cc0f550e7b88dde5de11a17141eaee5637d018168c55e20ef59,out_of_domain,pilot_r_pilot_G007_source_impedance_ohm_far_lower_03,source_impedance_ohm,far,lower,83e18cda7a2101b75baaa4f44f871652fb21462345463f217c6d64ad0104132f,f030528957b0a576e19a19ab83e597c70097fd00b1f26c7422d95037bfc19580,f030528957b0a576e19a19ab83e597c70097fd00b1f26c7422d95037bfc19580
